gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Apobec1,0.557,2.64,0.25,0.26,0.09,0.12
Lrg1,0.557,2.91,0.03,0.06,0.01,0.02
Hist1h4i,0.556,3.96,0.01,0.04,0.00,0.01
Insyn2b,0.555,2.86,0.04,0.11,0.01,0.04
Sfn,0.555,3.98,0.02,0.05,0.01,0.02
Saa3,0.554,6.06,0.03,0.03,0.01,0.00
Csf2ra,0.554,2.61,0.04,0.13,0.01,0.05
Pira2,0.553,2.84,0.01,0.05,0.00,0.02
Milr1,0.553,2.86,0.02,0.07,0.01,0.03
Tlr2,0.552,3.12,0.02,0.07,0.01,0.02
Rnf180,0.552,2.62,0.05,0.14,0.02,0.05
Mafb,0.552,2.43,0.08,0.19,0.03,0.07
Ccl9,0.551,2.79,0.03,0.10,0.01,0.03
Rasgrp4,0.551,2.63,0.02,0.07,0.01,0.02
Bach2os,0.550,5.41,0.01,0.04,0.00,0.01
Tmem37,0.550,3.13,0.01,0.06,0.00,0.02
Ctsc,0.549,2.94,0.29,0.33,0.10,0.17
Plek,0.549,3.05,0.18,0.24,0.06,0.12
Cd33,0.549,2.62,0.02,0.07,0.01,0.02
Rbp1,0.549,3.31,0.12,0.10,0.04,0.05
Ccl4,0.548,4.13,0.04,0.04,0.01,0.01
Tuba1c,0.546,2.54,0.04,0.11,0.01,0.04
Spp1,0.546,1.89,0.85,0.46,0.45,0.19
Pstpip2,0.546,2.45,0.05,0.13,0.02,0.05
Gpr65,0.545,2.63,0.02,0.08,0.01,0.03
Pmepa1,0.545,2.76,0.14,0.23,0.05,0.12
Clec5a,0.544,6.38,0.01,0.03,0.00,0.01
Card9,0.543,2.89,0.01,0.05,0.00,0.01
Spi1,0.543,2.39,0.10,0.23,0.04,0.10
Lacc1,0.543,2.53,0.04,0.12,0.01,0.05
Pld4,0.543,2.51,0.07,0.20,0.03,0.08
Sh3bp2,0.542,2.43,0.04,0.14,0.02,0.05
Serpinb1a,0.541,3.18,0.09,0.15,0.03,0.07
Lair1,0.541,2.37,0.03,0.10,0.01,0.04
Arl11,0.540,2.73,0.01,0.06,0.01,0.02
Itgb5,0.540,2.61,0.15,0.24,0.06,0.12
Cdkn1a,0.539,2.54,0.07,0.15,0.03,0.06
Gna15,0.538,2.49,0.02,0.07,0.01,0.03
Siglec1,0.537,2.53,0.01,0.06,0.01,0.02
Ncf1,0.537,2.55,0.08,0.19,0.03,0.09
Hist1h4d,0.536,3.04,0.07,0.17,0.02,0.07
Ucp2,0.535,2.47,0.21,0.41,0.09,0.20
Mcub,0.535,2.48,0.02,0.09,0.01,0.04
Ctsa,0.535,2.50,0.14,0.30,0.05,0.14
Tpm2,0.533,2.12,0.07,0.07,0.03,0.03
Tbxas1,0.533,2.30,0.08,0.17,0.03,0.07
Mki67,0.533,3.08,0.04,0.06,0.01,0.02
E230029C05Rik,0.533,2.55,0.02,0.07,0.01,0.03
Clec4n,0.533,2.64,0.01,0.04,0.00,0.01
Was,0.532,2.48,0.03,0.13,0.01,0.06
Emp3,0.532,2.41,0.14,0.32,0.06,0.16
Zfp991,0.532,3.67,0.01,0.04,0.00,0.01
Map11,0.531,2.46,0.02,0.08,0.01,0.03
Emilin2,0.530,2.12,0.02,0.09,0.01,0.03
Lrrc25,0.530,2.67,0.01,0.07,0.01,0.03
Acta2,0.529,1.47,0.08,0.06,0.05,0.02
Clu,0.529,3.53,2.27,0.72,0.64,0.32
Cyth4,0.529,2.27,0.11,0.26,0.05,0.12
Hist1h4n,0.528,3.26,0.01,0.04,0.00,0.01
Clec4a2,0.528,2.50,0.02,0.07,0.01,0.03
Gm50022,0.528,3.52,0.01,0.04,0.00,0.01
Stab1,0.528,2.28,0.24,0.26,0.11,0.13
Tnfrsf12a,0.527,3.27,0.02,0.05,0.01,0.02
Dpep2,0.527,4.42,0.01,0.04,0.00,0.01
F630028O10Rik,0.527,2.29,0.03,0.09,0.01,0.03
Tnfaip8l2,0.526,2.55,0.04,0.15,0.02,0.07
Rab7b,0.525,2.19,0.03,0.09,0.01,0.04
Aldh1a2,0.525,2.99,0.04,0.05,0.01,0.02
Lgals1,0.525,2.66,0.39,0.40,0.15,0.20
Rgs10,0.524,2.27,0.09,0.23,0.04,0.11
Lpxn,0.524,2.33,0.05,0.18,0.02,0.08
BE692007,0.524,2.39,0.09,0.16,0.04,0.08
Mpeg1,0.524,2.22,0.14,0.23,0.06,0.09
Tmem106a,0.523,2.29,0.04,0.13,0.02,0.06
Hk2,0.523,2.44,0.02,0.08,0.01,0.03
Gm26740,0.523,2.18,0.18,0.36,0.08,0.17
Igsf6,0.523,2.27,0.03,0.10,0.01,0.04
1700027J07Rik,0.523,3.17,0.01,0.03,0.00,0.01
Ifi30,0.522,2.26,0.15,0.28,0.07,0.13
Pid1,0.522,2.66,0.60,0.29,0.23,0.15
Gm32036,0.522,2.83,0.02,0.06,0.01,0.03
