gene,score,fold_change
Map3k13,0.315,11.95
Carmil1,0.314,16.21
Gm43305,0.311,8.53
Sema5a,0.310,21.99
Bicc1,0.309,16.94
Prox1,0.307,53.12
Cp,0.307,20.68
Sim1,0.307,220.18
Smoc1,0.306,9.52
Fmo2,0.306,6.86
Osbpl3,0.304,8.52
Kcnq1,0.304,6.87
Mboat1,0.302,6.98
Krt18,0.301,10.44
St3gal4,0.300,14.72
Fxyd3,0.300,13.35
Wfdc18,0.298,35.34
Sgpp2,0.298,47.48
Cgn,0.298,15.95
Gas2,0.297,15.34
Cblc,0.297,31.65
Abcc3,0.294,5.13
Epha7,0.291,14.31
Ttr,0.287,19.11
Tox3,0.284,14.35
Crp,0.283,164.49
Ccdc162,0.283,12.04
Shroom3,0.283,12.98
Kcnk5,0.283,8.07
Fgfr4,0.282,78.95
Sh2d4a,0.282,10.35
Spp1,0.281,16.10
Anxa4,0.277,7.74
Plxnb1,0.277,15.62
Acnat1,0.276,16.99
Plekha7,0.275,8.37
Kcnip4,0.275,43.56
Gpr39,0.274,14.93
Tmod1,0.274,22.49
Cadps2,0.274,13.92
Hpn,0.273,7.31
Ocln,0.273,9.65
St3gal5,0.273,8.28
Tmem45a,0.272,22.95
Pbld1,0.271,8.92
Rab25,0.271,6.98
2700054A10Rik,0.270,14.34
Enc1,0.268,6.64
Smim6,0.266,26.86
Ildr1,0.265,17.77
0610040J01Rik,0.264,10.92
Hhex,0.263,6.99
Vill,0.263,6.92
Llgl2,0.262,7.63
Stra6l,0.261,45.14
Fam234b,0.260,6.76
Tmc4,0.260,9.55
Fras1,0.260,29.53
Ncald,0.260,14.64
Naaladl2,0.260,11.70
Tuft1,0.259,10.87
Eps8l2,0.258,12.20
Myo5b,0.258,9.81
Wnk2,0.258,10.25
Fam83b,0.258,18.61
Proser2,0.254,3.44
B4galt6,0.254,8.97
Tesc,0.254,9.10
Tcte2,0.253,10.95
Cldn10,0.253,12.41
Plut,0.251,13.95
Gm42031,0.251,9.43
Krt7,0.250,14.30
Car2,0.250,7.92
Prom1,0.250,11.77
Sox5,0.249,10.71
Tjp3,0.248,7.60
Slc38a4,0.248,59.48
Col4a5,0.248,12.12
Ror1,0.248,10.66
Spata24,0.247,8.20
Prxl2a,0.247,9.31
Pdgfd,0.247,6.97
Nexmif,0.246,11.10
Cdcp1,0.246,16.24
Galnt3,0.245,6.50
Serinc2,0.245,11.74
Nr5a2,0.245,5.78
Sgms2,0.244,8.34
Lamc2,0.243,23.31
Gsta3,0.243,18.82
Car8,0.243,8.29
Kcnc2,0.243,48.22
Patj,0.243,6.05
Foxa2,0.242,9.09
Eppk1,0.242,33.03
1700110K17Rik,0.241,7.79
Cldn4,0.240,6.17
Il17re,0.239,18.84
Dnah7b,0.238,23.27
Krt19,0.238,8.88
Pld1,0.236,7.97
Prtg,0.236,24.34
Adam33,0.235,9.68
Elf3,0.235,18.16
Cat,0.235,6.32
