gene,score,fold_change
Gngt2,0.078,2.35
Zfp366,0.078,1.34
Tm4sf1,0.078,1.94
Apold1,0.078,3.22
Cav2,0.078,2.39
Tff2,0.077,1.13
Gm42418,0.077,1.74
Hspa12b,0.077,2.40
N4bp3,0.077,2.86
Ephb4,0.077,1.82
Zmat4,0.077,2.39
