gene,score,fold_change
Luzp2,0.310,1055.11
Cadm3,0.309,21.15
Sgce,0.308,13.85
Sgcb,0.308,12.88
Gk,0.306,8.16
Glis2,0.306,8.48
Antxr2,0.305,7.63
Pcdh11x,0.304,288.65
Hand2os1,0.304,13.61
Zfp651,0.303,33.17
Arhgap39,0.303,10.81
Stard13,0.302,38.22
Daam2,0.301,23.49
