gene,score,fold_change
Vegfa,0.134,5.29
Dhx34,0.133,3.75
Cela1,0.133,4.10
Tinag,0.133,4.84
Sugp1,0.132,3.73
Cth,0.132,4.70
Cuzd1,0.132,2.92
Ero1lb,0.131,3.04
Gpc5,0.131,2.42
1810064F22Rik,0.131,5.96
Mat1a,0.130,5.35
Pnmal2,0.129,6.89
Sycn,0.129,3.02
Cela3a,0.128,12.13
Hdac11,0.128,4.83
Spdef,0.127,8.65
Mknk1,0.127,3.36
Sel1l3,0.127,3.82
Cela3b,0.127,3.40
Gm11963,0.127,4.59
Hamp2,0.126,3.51
Slc7a5,0.126,3.64
Mthfd2,0.126,3.35
Celsr2,0.126,4.86
Ica1,0.125,3.27
Arhgdig,0.124,2.64
1810010K12Rik,0.123,5.53
Tcim,0.123,2.25
Pik3c2g,0.123,4.35
Hook1,0.122,3.77
Mecom,0.122,2.55
Foxp2,0.122,3.69
Mettl1,0.121,4.02
Parm1,0.121,4.15
Pnliprp1,0.121,3.80
Rgs11,0.121,3.40
Hsd17b13,0.120,3.34
Erp27,0.120,2.96
Ttn,0.120,5.66
Rnf212,0.119,5.11
Try4,0.118,2.58
Rims1,0.118,3.03
Klkb1,0.118,4.45
Rap1gap2,0.117,3.07
Eif2ak3,0.117,3.01
Chrm3,0.117,3.16
2210010C04Rik,0.117,2.87
Pde8b,0.117,4.17
Klk1,0.116,2.78
Dmbt1,0.116,3.22
Eef1akmt3,0.116,6.33
Cpb1,0.115,3.04
Slc41a1,0.115,3.00
5730522E02Rik,0.115,2.98
Amy2a3,0.115,9.02
2010300C02Rik,0.114,3.95
Tmed6,0.114,2.74
Gm26917,0.114,4.97
Bmpr1b,0.114,2.80
Ntn1,0.114,3.73
Kcnd3,0.114,4.01
Rnase1,0.114,2.39
Ccdc57,0.113,3.81
Klf15,0.113,4.60
Tc2n,0.112,3.16
Plppr1,0.112,3.46
Esrp1,0.112,3.94
Edem2,0.112,3.74
Slc12a8,0.112,2.82
Gm48486,0.111,9.16
Ccdc162,0.111,3.33
Nr5a2,0.111,2.22
Pkd2l2,0.111,3.74
Erich5,0.109,4.21
Adk,0.109,2.77
Asns,0.109,2.46
Gm49417,0.108,3.40
Zbtb18,0.108,2.98
Srsf6,0.108,3.37
Fkbp11,0.108,2.36
Clspn,0.108,4.39
Nckap5,0.108,2.62
Egr1,0.107,3.03
Dixdc1,0.107,5.10
Ptf1a,0.107,3.36
Ell2,0.107,2.60
Sardh,0.107,4.08
Hnf4a,0.106,3.81
Cpa1,0.106,2.72
Nexmif,0.106,3.41
Xlr5a,0.106,2.16
Rrbp1,0.106,3.17
Smim38,0.105,5.39
Zfp9,0.105,6.32
Gatm,0.105,2.58
Vipr2,0.105,3.96
9030622O22Rik,0.105,3.22
Appl2,0.105,3.04
Ghr,0.104,2.59
Gm11867,0.104,2.99
Clps,0.104,2.85
Myc,0.104,2.65
Nipal2,0.104,3.54
Erc2,0.104,3.38
Asxl3,0.103,2.46
Pbld1,0.103,2.67
1700019D03Rik,0.103,4.40
Snhg17,0.103,3.20
Sh2d4a,0.103,3.66
Gm8251,0.103,4.63
Matn4,0.102,6.66
Edem1,0.102,2.48
Sec14l4,0.102,7.33
Amy1,0.102,3.13
