gene,score,fold_change
Cpb1,0.098,11.48
Msrb1,0.098,2.14
Kctd16,0.097,4.19
Kcnk1,0.097,2.87
Gm14582,0.097,4.89
Derl3,0.097,2.92
Slx1b,0.097,3.86
Amy1,0.097,2.91
Gsto1,0.096,2.55
Xbp1,0.096,2.64
Zfas1,0.096,2.56
Hsbp1l1,0.096,5.95
Klc3,0.096,5.24
Dbt,0.095,2.91
Reg1,0.094,6.48
Gria4,0.094,5.78
P4hb,0.094,3.79
Srp9,0.094,2.46
Mkrn2os,0.094,7.46
Cbs,0.094,2.13
Lcn2,0.094,4.22
Klk1b5,0.094,16.68
Cystm1,0.093,3.43
Clu,0.093,6.74
Shisa4,0.093,6.40
Car9,0.093,5.54
Lonp1,0.092,2.64
Psmb10,0.092,2.39
Klk1b3,0.092,9.79
Ccng1,0.092,2.93
Mif,0.092,2.28
Cntnap2,0.092,3.84
Serpinb9,0.091,2.95
Cth,0.091,2.98
Tmed11,0.091,2.88
Fxyd3,0.091,3.23
Nhp2,0.091,2.16
