gene,score,fold_change
Rps6ka2,0.281,9.91
Ccser1,0.281,11.86
Klhl7,0.280,7.50
Sfxn2,0.279,7.59
Map2,0.278,10.55
Kcnb1,0.278,5.53
Fhod3,0.278,34.24
Galnt13,0.277,7.72
Ndst4,0.276,649.96
Noct,0.276,7.03
Tmem117,0.275,24.06
Cdh8,0.273,83.87
Prepl,0.273,10.88
Rgs17,0.272,27.21
Dpf3,0.272,9.22
Gpr158,0.272,461.97
Mapk10,0.272,63.26
Celf4,0.271,16.41
Slc2a2,0.269,194.83
Fam151b,0.267,9.22
Kcnb2,0.267,211.56
Nav2,0.265,13.11
Gm47071,0.263,24.25
Lekr1,0.262,11.43
Kif12,0.262,23.45
Kif5c,0.261,12.73
Gabbr2,0.259,99.37
Caprin2,0.259,22.61
Plekha6,0.258,6.36
Stk32a,0.258,199.34
Rhobtb1,0.257,11.25
Tm4sf4,0.257,6.70
Erc2,0.257,7.44
Nkx2-2,0.256,21.75
Pcbp3,0.256,4.96
Snap25,0.256,2222.45
Ins1,0.254,164.57
Ankrd55,0.253,18.05
Slc16a12,0.253,15.93
Cdh2,0.253,36.42
Sdk1,0.252,20.06
Gm10801,0.251,44.82
Zfp804b,0.250,42.39
Robo1,0.250,9.72
Ppfia2,0.250,42.69
Lnx1,0.250,9.27
Dnajc6,0.248,12.80
Pcdh15,0.248,11.45
Hmgn3,0.246,10.55
Slc37a1,0.246,4.50
Efcc1,0.245,46.79
Aplp1,0.244,30.64
Rad18,0.244,7.71
