gene,score,fold_change
Cd69,0.283,6.54
5430427O19Rik,0.281,6.71
Lrrk2,0.280,10.90
Cpne4,0.279,9.20
5830428M24Rik,0.278,6.60
Sell,0.276,5.00
Dok3,0.276,4.52
Swap70,0.276,7.76
Pkib,0.273,9.19
Ap1s3,0.270,8.61
Trim59,0.270,8.19
Ncf4,0.269,4.30
Gm50386,0.268,748.84
Snx8,0.267,4.35
Cmah,0.267,6.19
Nxpe3,0.266,4.58
Ebf1,0.265,6.76
Gm39556,0.265,13.46
Gm48678,0.265,5.22
F730311O21Rik,0.265,42.27
Pxk,0.265,7.56
Kcnq5,0.265,7.88
Tec,0.264,5.77
Mef2c,0.264,7.07
Lrmp,0.264,6.08
Bach2,0.262,8.16
Phtf2,0.261,5.65
H2-DMa,0.261,6.83
Pag1,0.259,5.85
Fam111a,0.259,5.39
Cd52,0.257,5.27
Rnase6,0.256,9.94
Mir142hg,0.256,4.74
Tlr1,0.255,4.10
C130026I21Rik,0.255,8.45
Gm16158,0.255,8.89
Cd38,0.254,5.09
Ffar1,0.253,53.64
Jakmip1,0.253,4.42
Bcar3,0.252,11.76
Gm45894,0.252,7.12
Grk6,0.252,4.65
Ppp1r16b,0.251,5.39
Il4i1,0.251,11.09
Il21r,0.251,4.20
Cpm,0.251,6.06
P2ry10b,0.250,6.58
1110059E24Rik,0.250,6.02
Sh3bp5,0.249,5.26
