gene,score,fold_change
Arrdc4,0.216,6.66
Kbtbd11,0.215,3.22
Plod1,0.215,3.82
Itga2b,0.215,33.72
Foxp2,0.214,9.27
Npas3,0.214,17.21
Sema3f,0.214,4.80
Meox2,0.214,20.14
Tcn2,0.213,4.60
Tgm2,0.212,6.75
Lcn2,0.212,2.75
Ppfibp1,0.211,7.66
Ltc4s,0.210,6.02
Ppp1r2,0.210,5.43
Kif26b,0.210,8.17
Cp,0.210,5.48
Btbd11,0.209,6.46
Sh3tc1,0.209,4.13
Cavin2,0.209,5.43
Arhgap23,0.208,6.64
Robo1,0.208,11.86
Tal1,0.208,4.60
Dock9,0.208,6.18
Ly96,0.207,3.57
Trib3,0.207,12.63
Tnfaip8l1,0.207,5.32
Synm,0.207,7.54
Aph1b,0.207,10.26
Cpne2,0.206,6.78
Klhl3,0.206,4.55
Dmtn,0.206,29.81
Gng11,0.206,4.92
Pcp4l1,0.205,5.83
A4galt,0.205,6.38
Spsb1,0.204,5.45
Lama4,0.204,8.78
Trim62,0.204,6.86
Ptpre,0.204,4.71
Pear1,0.204,4.72
Ctla2b,0.204,3.95
Dpysl3,0.204,5.54
Marcksl1,0.203,4.93
Lepr,0.203,3.15
Tppp3,0.203,16.16
Btbd3,0.201,5.87
Colq,0.201,28.91
Sh2d3c,0.200,2.63
Mical2,0.199,8.13
Adgra2,0.199,11.78
Ablim3,0.199,4.75
Gxylt2,0.199,9.94
