gene,score,fold_change
Ifi202b,0.244,7.99
Cd48,0.244,3.25
Ptpn6,0.243,3.17
Ly86,0.242,3.23
Tnip3,0.241,10.15
Trerf1,0.240,7.72
Ffar2,0.240,40.77
Mpeg1,0.240,3.75
Basp1,0.239,6.41
Adap1,0.238,6.13
Ms4a4c,0.238,3.63
H2-Ob,0.238,3.36
Slco5a1,0.235,50.43
Cacnb3,0.235,31.36
Ccr5,0.235,2.92
