gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
A330040F15Rik,0.366,10.85,0.05,0.15,0.01,0.02
H2-Eb1,0.365,9.78,0.80,0.63,0.08,0.05
Icosl,0.362,12.82,0.09,0.29,0.01,0.03
Trim7,0.359,16.45,0.12,0.32,0.01,0.02
A630001G21Rik,0.357,7.09,0.19,0.47,0.03,0.10
Zc3h12d,0.357,6.81,0.10,0.26,0.01,0.05
H2-Oa,0.355,17.36,0.07,0.24,0.00,0.02
Lamb3,0.354,7.55,0.09,0.24,0.01,0.03
March1,0.353,9.61,0.62,0.73,0.06,0.12
Gm30054,0.353,7.81,0.07,0.19,0.01,0.03
Pou2f2,0.351,7.75,0.49,0.74,0.06,0.14
Zfp831,0.347,6.49,0.15,0.35,0.02,0.05
Map4k1,0.346,9.07,0.12,0.34,0.01,0.05
Gpr18,0.340,6.54,0.07,0.22,0.01,0.04
Ifi209,0.334,6.34,0.15,0.37,0.02,0.08
Gpr183,0.331,7.62,0.21,0.42,0.03,0.09
Ptpn6,0.331,7.70,0.26,0.56,0.03,0.12
Scd1,0.329,15.29,0.19,0.46,0.01,0.03
Srpk3,0.329,112.01,0.04,0.14,0.00,0.00
Gm15675,0.328,15.80,0.11,0.27,0.01,0.02
Ltb,0.326,6.57,0.51,0.71,0.08,0.12
Ciita,0.319,10.86,0.34,0.61,0.03,0.05
Dusp2,0.318,8.44,0.08,0.21,0.01,0.03
Cd74,0.318,9.49,4.83,0.93,0.51,0.13
Bend5,0.316,14.70,0.04,0.14,0.00,0.01
BC035044,0.315,13.48,0.06,0.17,0.00,0.02
Slc9a7,0.314,11.38,0.37,0.60,0.03,0.09
Prkcb,0.314,9.05,1.18,0.90,0.13,0.23
Gga2,0.313,8.70,0.13,0.37,0.02,0.05
Pml,0.312,10.51,0.23,0.49,0.02,0.08
Cacna1e,0.311,23.26,0.16,0.26,0.01,0.01
H2-Aa,0.311,8.21,1.42,0.87,0.17,0.08
Nrm,0.309,9.50,0.04,0.13,0.00,0.02
Rhof,0.308,6.82,0.06,0.20,0.01,0.03
Ripor2,0.308,6.15,1.10,0.87,0.18,0.20
Traf3ip3,0.308,5.20,0.17,0.44,0.03,0.09
Card11,0.307,7.49,0.38,0.65,0.05,0.10
Grap,0.307,6.06,0.14,0.36,0.02,0.08
Ifi214,0.307,5.93,0.04,0.12,0.01,0.02
Pgap1,0.307,8.93,0.20,0.42,0.02,0.07
Cyp4f18,0.307,5.03,0.05,0.15,0.01,0.04
Rel,0.305,7.92,0.31,0.57,0.04,0.13
Malt1,0.304,7.95,0.45,0.68,0.06,0.15
Acap1,0.304,5.95,0.12,0.34,0.02,0.06
Gm12064,0.303,34.72,0.04,0.13,0.00,0.00
H2-Ab1,0.301,7.46,1.45,0.85,0.19,0.08
Lat2,0.299,5.62,0.08,0.23,0.01,0.05
Arhgap4,0.299,4.78,0.14,0.38,0.03,0.10
Gimap1,0.297,5.03,0.23,0.54,0.05,0.13
Rubcnl,0.297,8.34,0.10,0.29,0.01,0.03
Slamf6,0.297,5.14,0.14,0.37,0.03,0.06
Kynu,0.296,11.07,0.13,0.30,0.01,0.03
Tbc1d10c,0.295,4.76,0.09,0.28,0.02,0.06
Bfsp2,0.294,74.05,0.04,0.12,0.00,0.00
Clec2i,0.294,6.16,0.07,0.19,0.01,0.04
Tespa1,0.293,4.88,0.13,0.34,0.03,0.07
Fam169b,0.292,5.02,0.17,0.39,0.03,0.07
Zfp318,0.292,8.41,0.22,0.47,0.03,0.08
Tmem243,0.291,6.20,0.21,0.49,0.03,0.12
Jhy,0.289,57.70,0.04,0.11,0.00,0.00
Sash3,0.289,4.38,0.08,0.27,0.02,0.07
Ppp3cc,0.288,6.93,0.22,0.47,0.03,0.09
Gm20513,0.285,35.78,0.03,0.11,0.00,0.00
Plcg2,0.284,7.79,0.37,0.66,0.05,0.12
Clec2g,0.284,15.70,0.03,0.10,0.00,0.01
Txndc16,0.283,8.44,0.20,0.44,0.02,0.09
Cd69,0.283,6.54,0.04,0.11,0.01,0.02
5430427O19Rik,0.281,6.71,0.04,0.11,0.01,0.02
Lrrk2,0.280,10.90,0.33,0.55,0.03,0.09
Cpne4,0.279,9.20,0.05,0.11,0.01,0.01
5830428M24Rik,0.278,6.60,0.06,0.18,0.01,0.03
Sell,0.276,5.00,0.21,0.44,0.04,0.08
Dok3,0.276,4.52,0.07,0.23,0.02,0.06
Swap70,0.276,7.76,0.52,0.73,0.07,0.18
Pkib,0.273,9.19,0.11,0.27,0.01,0.04
Ap1s3,0.270,8.61,0.14,0.33,0.02,0.05
Trim59,0.270,8.19,0.04,0.15,0.01,0.02
Ncf4,0.269,4.30,0.09,0.28,0.02,0.08
Gm50386,0.268,748.84,0.04,0.11,0.00,0.00
Snx8,0.267,4.35,0.12,0.33,0.03,0.09
Cmah,0.267,6.19,0.37,0.60,0.06,0.11
Nxpe3,0.266,4.58,0.11,0.28,0.02,0.07
Ebf1,0.265,6.76,3.25,0.96,0.48,0.25
Gm39556,0.265,13.46,0.03,0.11,0.00,0.01
Gm48678,0.265,5.22,0.06,0.19,0.01,0.04
F730311O21Rik,0.265,42.27,0.03,0.10,0.00,0.00
Pxk,0.265,7.56,0.35,0.63,0.05,0.14
Kcnq5,0.265,7.88,0.68,0.62,0.09,0.11
Tec,0.264,5.77,0.29,0.55,0.05,0.14
Mef2c,0.264,7.07,1.71,0.93,0.24,0.32
Lrmp,0.264,6.08,0.32,0.57,0.05,0.15
Bach2,0.262,8.16,1.68,0.90,0.21,0.28
Phtf2,0.261,5.65,0.18,0.41,0.03,0.10
H2-DMa,0.261,6.83,0.19,0.48,0.03,0.08
Pag1,0.259,5.85,0.49,0.69,0.08,0.19
Fam111a,0.259,5.39,0.16,0.41,0.03,0.10
Cd52,0.257,5.27,1.22,0.79,0.23,0.22
Rnase6,0.256,9.94,0.08,0.24,0.01,0.02
Mir142hg,0.256,4.74,0.61,0.77,0.13,0.21
Tlr1,0.255,4.10,0.03,0.11,0.01,0.04
C130026I21Rik,0.255,8.45,0.03,0.10,0.00,0.02
Gm16158,0.255,8.89,0.03,0.10,0.00,0.01
Cd38,0.254,5.09,0.24,0.47,0.05,0.13
Ffar1,0.253,53.64,0.03,0.11,0.00,0.00
Jakmip1,0.253,4.42,0.06,0.17,0.01,0.04
Bcar3,0.252,11.76,0.38,0.53,0.03,0.09
Gm45894,0.252,7.12,0.03,0.09,0.00,0.02
Grk6,0.252,4.65,0.17,0.44,0.04,0.12
Ppp1r16b,0.251,5.39,0.34,0.60,0.06,0.15
Il4i1,0.251,11.09,0.05,0.15,0.00,0.01
Il21r,0.251,4.20,0.13,0.33,0.03,0.10
Cpm,0.251,6.06,0.07,0.20,0.01,0.03
P2ry10b,0.250,6.58,0.03,0.11,0.01,0.02
1110059E24Rik,0.250,6.02,0.20,0.45,0.03,0.10
Sh3bp5,0.249,5.26,0.30,0.58,0.06,0.15
