gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Coro2a,0.295,6.92,0.19,0.55,0.03,0.07
Fcer1g,0.295,4.98,0.65,0.72,0.13,0.14
Ltb4r1,0.293,9.79,0.03,0.20,0.00,0.01
Csf2ra,0.293,5.59,0.11,0.42,0.02,0.07
Itgb7,0.292,4.74,0.19,0.60,0.04,0.10
Il10ra,0.291,4.11,0.14,0.54,0.03,0.10
Itgam,0.291,4.76,0.19,0.48,0.04,0.09
S100a4,0.291,13.39,0.94,0.58,0.07,0.09
Bloc1s2,0.291,5.26,0.13,0.52,0.03,0.09
Lair1,0.290,6.87,0.12,0.20,0.02,0.06
Gng10,0.290,6.28,0.19,0.56,0.03,0.10
Icosl,0.290,5.96,0.09,0.30,0.01,0.05
Sla,0.289,4.48,0.16,0.57,0.04,0.11
Cacna1e,0.289,11.52,0.21,0.14,0.02,0.03
Aph1c,0.288,6.34,0.06,0.28,0.01,0.04
Ifitm6,0.288,30.24,0.04,0.21,0.00,0.00
Gm36723,0.287,17.94,0.11,0.16,0.01,0.01
Cd80,0.284,7.45,0.05,0.19,0.01,0.02
Card11,0.284,5.12,0.41,0.63,0.08,0.15
Cd200r1,0.283,4.43,0.07,0.26,0.02,0.05
Dpp4,0.282,8.55,0.39,0.75,0.05,0.10
Relt,0.281,7.78,0.04,0.19,0.00,0.02
Samsn1,0.281,6.25,0.18,0.36,0.03,0.08
Cd180,0.279,3.93,0.17,0.45,0.04,0.10
Gpr68,0.277,11.20,0.05,0.26,0.00,0.02
Tmem150b,0.277,9.58,0.03,0.16,0.00,0.02
Pira2,0.277,6.74,0.04,0.23,0.01,0.02
Bri3bp,0.276,6.59,0.07,0.36,0.01,0.04
Ap1s3,0.275,5.39,0.14,0.47,0.03,0.07
F630206G17Rik,0.275,23.51,0.03,0.19,0.00,0.01
Sirpb1c,0.274,5.55,0.05,0.21,0.01,0.03
Runx2,0.272,24.94,0.59,0.41,0.02,0.06
Nectin1,0.271,12.65,0.08,0.31,0.01,0.02
Ctsh,0.269,5.34,0.51,0.79,0.10,0.21
Itgb2,0.268,4.06,0.13,0.49,0.03,0.11
Clec4a3,0.266,4.14,0.07,0.28,0.02,0.05
Dapp1,0.266,5.52,0.27,0.66,0.05,0.14
Slc12a9,0.266,5.81,0.07,0.32,0.01,0.04
Bcl11a,0.266,4.85,0.45,0.63,0.09,0.12
Tspan33,0.265,18.99,0.04,0.20,0.00,0.01
Cyb561a3,0.265,7.21,0.12,0.33,0.02,0.06
Myo1g,0.265,4.30,0.12,0.40,0.03,0.09
Il4i1,0.265,11.18,0.09,0.17,0.01,0.02
Atp8b4,0.264,4.07,0.18,0.45,0.04,0.10
Gpr141,0.263,18.94,0.08,0.19,0.00,0.01
Pirb,0.260,4.09,0.10,0.44,0.03,0.08
Pik3cb,0.260,6.30,0.19,0.55,0.03,0.10
Tnfrsf13b,0.260,3.65,0.09,0.41,0.03,0.08
Csf2rb,0.259,5.55,0.11,0.41,0.02,0.06
Otulinl,0.258,4.08,0.25,0.68,0.06,0.16
Cd300lf,0.258,4.88,0.05,0.20,0.01,0.03
Arhgap30,0.257,3.75,0.33,0.79,0.09,0.23
Il18rap,0.255,5.92,0.04,0.21,0.01,0.02
Naga,0.254,9.63,0.10,0.34,0.01,0.04
Ccl5,0.253,9.02,0.74,0.16,0.08,0.02
March1,0.253,3.36,0.39,0.75,0.12,0.17
Parp8,0.251,7.45,0.83,0.88,0.11,0.22
Gm9733,0.251,30.42,0.03,0.18,0.00,0.00
Rab43,0.250,6.48,0.30,0.66,0.05,0.14
Cybb,0.250,3.56,0.32,0.58,0.09,0.16
Prcp,0.250,4.17,0.17,0.64,0.04,0.12
Mreg,0.250,48.10,0.12,0.13,0.00,0.01
Clec2i,0.249,3.74,0.06,0.24,0.02,0.06
Klrb1b,0.249,26.50,0.04,0.20,0.00,0.00
Laptm5,0.248,3.87,0.67,0.84,0.17,0.28
Cbfa2t3,0.248,7.56,0.48,0.81,0.06,0.15
Irf8,0.247,9.41,0.54,0.43,0.06,0.15
Nabp1,0.247,4.93,0.07,0.30,0.01,0.05
Bend4,0.246,11.89,0.04,0.17,0.00,0.01
Epsti1,0.246,7.48,0.66,0.67,0.09,0.18
Cd52,0.246,3.91,1.24,0.76,0.32,0.27
Tnfaip8l2,0.245,3.62,0.08,0.40,0.02,0.09
Pstpip1,0.245,3.88,0.09,0.36,0.02,0.08
Plekhm3,0.245,5.78,0.43,0.71,0.07,0.18
Ckb,0.244,7.64,0.30,0.55,0.04,0.09
5031439G07Rik,0.244,4.68,0.16,0.55,0.03,0.11
Ifi202b,0.244,7.99,0.03,0.14,0.00,0.02
Cd48,0.244,3.25,0.14,0.53,0.04,0.14
Ptpn6,0.243,3.17,0.18,0.58,0.06,0.15
Ly86,0.242,3.23,0.38,0.75,0.12,0.18
Tnip3,0.241,10.15,0.04,0.17,0.00,0.01
Trerf1,0.240,7.72,0.52,0.75,0.07,0.15
Ffar2,0.240,40.77,0.05,0.19,0.00,0.00
Mpeg1,0.240,3.75,0.32,0.53,0.08,0.13
Basp1,0.239,6.41,0.25,0.53,0.04,0.09
Adap1,0.238,6.13,0.06,0.23,0.01,0.04
Ms4a4c,0.238,3.63,0.12,0.37,0.03,0.08
H2-Ob,0.238,3.36,0.08,0.33,0.02,0.06
Slco5a1,0.235,50.43,0.10,0.11,0.00,0.01
Cacnb3,0.235,31.36,0.14,0.12,0.00,0.01
Ccr5,0.235,2.92,0.13,0.40,0.04,0.09
