gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Sox7,0.376,7.99,0.09,0.28,0.01,0.03
Hspa12b,0.374,8.18,0.20,0.50,0.02,0.06
Tspan7,0.373,16.17,0.39,0.66,0.02,0.05
Bmp6,0.373,9.69,0.22,0.39,0.02,0.04
Sncaip,0.372,12.92,0.26,0.55,0.02,0.04
Sncg,0.371,9.75,0.14,0.38,0.01,0.04
Adgrf5,0.369,6.36,1.00,0.95,0.16,0.15
Tox2,0.369,38.83,0.11,0.30,0.00,0.01
Abcb1a,0.366,6.96,0.13,0.35,0.02,0.05
Cd93,0.366,5.14,0.42,0.76,0.08,0.16
Acvrl1,0.365,7.31,0.34,0.66,0.05,0.11
Parvb,0.362,7.00,0.23,0.61,0.03,0.10
Nrarp,0.361,8.46,0.08,0.30,0.01,0.03
Col8a1,0.361,15.96,0.27,0.48,0.02,0.02
Stc1,0.360,7.16,0.12,0.36,0.02,0.04
Cyyr1,0.358,4.86,1.18,0.89,0.24,0.16
Ldb2,0.355,7.55,2.06,0.98,0.27,0.17
Kitl,0.354,10.12,1.08,0.81,0.11,0.15
Eps8l2,0.351,12.00,0.15,0.48,0.01,0.03
Sema7a,0.349,7.06,0.21,0.56,0.03,0.07
Tek,0.348,5.79,0.55,0.80,0.09,0.13
Flt1,0.348,4.77,2.66,0.94,0.56,0.18
Sox18,0.346,7.14,0.37,0.66,0.05,0.10
Tal1,0.345,9.01,0.08,0.25,0.01,0.03
Lmo7,0.345,10.80,0.24,0.59,0.02,0.06
Ceacam1,0.345,5.72,0.14,0.42,0.02,0.07
Clec14a,0.344,4.72,0.33,0.74,0.07,0.11
Esam,0.344,5.99,0.40,0.76,0.07,0.12
Ly6a,0.342,5.77,1.01,0.90,0.17,0.21
S1pr1,0.341,6.60,0.63,0.80,0.10,0.21
Ushbp1,0.340,5.30,0.27,0.56,0.05,0.10
Klf4,0.340,9.39,0.40,0.65,0.04,0.10
Fgd5,0.339,6.72,0.53,0.86,0.08,0.13
Trim47,0.339,8.02,0.17,0.49,0.02,0.07
Tmem88,0.335,5.19,0.11,0.36,0.02,0.05
Rassf9,0.335,8.00,0.24,0.53,0.03,0.07
Ramp2,0.335,6.58,0.33,0.68,0.05,0.10
Lims2,0.334,6.34,0.25,0.64,0.04,0.09
Ccnyl1,0.334,6.53,0.18,0.56,0.03,0.08
Mannr,0.333,162.64,0.13,0.39,0.00,0.00
Kank4,0.330,38.81,0.11,0.27,0.00,0.01
Prex2,0.329,9.36,1.56,0.97,0.17,0.16
C430049B03Rik,0.328,7.66,0.07,0.22,0.01,0.03
Fzd6,0.327,11.41,0.13,0.41,0.01,0.04
Gm16070,0.327,18.79,0.06,0.24,0.00,0.01
Entpd1,0.326,7.55,0.91,0.89,0.12,0.23
Lamb2,0.325,10.10,0.30,0.66,0.03,0.08
Ltbp4,0.325,13.16,1.08,0.92,0.08,0.13
Car7,0.325,47.69,0.09,0.27,0.00,0.01
Arhgef28,0.325,10.19,0.46,0.68,0.04,0.10
Npnt,0.323,22.32,0.07,0.25,0.00,0.01
Palmd,0.323,6.02,0.27,0.68,0.04,0.10
Filip1,0.322,7.92,0.35,0.66,0.04,0.09
Pkn3,0.319,8.83,0.05,0.20,0.01,0.02
Pik3c2b,0.319,5.04,0.17,0.45,0.03,0.09
Fat4,0.315,5.78,0.17,0.49,0.03,0.07
Tead4,0.314,7.12,0.09,0.35,0.01,0.04
Mecom,0.310,10.96,2.99,0.98,0.27,0.21
Ankrd33b,0.309,6.52,0.14,0.36,0.02,0.05
Rgs3,0.308,7.46,0.40,0.76,0.05,0.13
Epb41l4a,0.308,10.99,0.39,0.67,0.04,0.07
Gbp4,0.307,4.76,0.15,0.45,0.03,0.08
Pdgfb,0.305,5.30,0.33,0.70,0.06,0.13
Mall,0.304,10.03,0.08,0.31,0.01,0.02
Tpgs2,0.303,7.40,0.07,0.25,0.01,0.04
Rnf125,0.302,5.08,0.07,0.24,0.01,0.05
Bdkrb2,0.302,3.91,0.09,0.28,0.02,0.05
Smad7,0.302,5.62,0.48,0.82,0.08,0.21
Myct1,0.300,4.74,0.17,0.50,0.04,0.08
Pdgfd,0.299,6.17,0.89,0.88,0.14,0.16
Egfl7,0.299,4.91,0.81,0.93,0.16,0.16
Synpo,0.298,9.21,0.21,0.50,0.02,0.06
Unc5b,0.296,9.18,0.11,0.35,0.01,0.03
Eva1a,0.296,15.08,0.05,0.22,0.00,0.01
Ptprg,0.295,6.08,2.23,0.95,0.37,0.25
Card10,0.295,7.23,0.14,0.45,0.02,0.06
Arhgef15,0.294,4.49,0.17,0.52,0.04,0.08
Ptprm,0.292,6.40,2.42,0.95,0.38,0.25
Eln,0.292,14.46,0.72,0.69,0.05,0.07
Heg1,0.292,10.38,1.80,0.94,0.17,0.25
Atp2b4,0.291,7.81,0.31,0.70,0.04,0.10
Magix,0.291,7.65,0.04,0.18,0.01,0.02
Nkx2-3,0.290,6.51,0.10,0.28,0.01,0.04
Fbxl7,0.289,8.02,1.21,0.78,0.15,0.16
Uaca,0.289,7.29,0.37,0.68,0.05,0.11
Rasip1,0.288,4.75,0.27,0.60,0.06,0.11
Cyb561,0.287,6.30,0.09,0.31,0.01,0.04
Eng,0.287,4.58,0.89,0.92,0.20,0.20
Arap3,0.286,4.16,0.18,0.55,0.04,0.10
Pcdh1,0.286,5.95,0.17,0.52,0.03,0.07
Slc12a7,0.285,5.41,0.22,0.56,0.04,0.12
Fgfr3,0.285,8.82,0.12,0.33,0.01,0.03
Id3,0.285,4.67,0.59,0.78,0.13,0.17
Fabp4,0.284,3.38,2.77,0.91,0.82,0.19
Ehd2,0.283,7.10,0.31,0.72,0.04,0.10
Tie1,0.283,4.85,0.28,0.66,0.06,0.10
Klf2,0.283,5.82,0.74,0.78,0.13,0.24
Zfp366,0.282,4.48,0.29,0.53,0.06,0.11
Col13a1,0.282,3.31,0.16,0.34,0.05,0.08
Cx3cl1,0.281,12.94,0.05,0.17,0.00,0.01
St6galnac3,0.281,5.31,0.99,0.77,0.19,0.20
Gpr4,0.280,5.41,0.05,0.20,0.01,0.03
Cxcl12,0.279,4.80,0.43,0.63,0.09,0.11
Nod2,0.279,7.79,0.04,0.15,0.00,0.02
Dchs1,0.279,5.53,0.06,0.24,0.01,0.03
Plvap,0.279,3.43,1.44,0.83,0.42,0.17
Mpzl1,0.278,5.76,0.21,0.53,0.04,0.09
Hs3st1,0.278,14.98,0.11,0.30,0.01,0.02
Adamts1,0.278,8.87,0.23,0.42,0.03,0.05
Lmcd1,0.278,4.87,0.12,0.38,0.03,0.06
Ttc39c,0.277,5.70,0.07,0.20,0.01,0.04
Mn1,0.277,10.57,0.06,0.20,0.01,0.02
Glul,0.276,9.19,0.55,0.69,0.06,0.14
Igfbp3,0.275,4.09,0.76,0.58,0.19,0.12
C130074G19Rik,0.275,4.19,0.16,0.43,0.04,0.07
Thsd1,0.273,5.63,0.12,0.43,0.02,0.06
Chst11,0.273,4.99,0.31,0.59,0.06,0.14
Tnfrsf22,0.273,8.38,0.04,0.13,0.00,0.02
Ablim3,0.273,7.01,0.24,0.50,0.03,0.07
Clec1a,0.272,4.87,0.16,0.41,0.03,0.07
Rapgef3,0.272,3.71,0.12,0.41,0.03,0.08
Prom1,0.271,9.12,0.11,0.32,0.01,0.03
Ebf3,0.270,4.34,0.15,0.45,0.03,0.08
Lmo2,0.268,5.36,0.25,0.57,0.05,0.14
Pls3,0.268,6.19,0.28,0.61,0.05,0.11
