gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Fam78b,0.537,24.92,0.44,0.65,0.02,0.05
Art3,0.533,70.96,0.43,0.75,0.01,0.01
Xkr4,0.531,138.64,1.44,0.85,0.01,0.02
Pappa,0.528,77.37,0.64,0.40,0.01,0.01
Grb14,0.522,54.21,0.45,0.70,0.01,0.02
Col20a1,0.517,79.52,0.24,0.35,0.00,0.01
Vgll3,0.517,49.44,0.48,0.70,0.01,0.02
Cyp2j9,0.516,82.27,0.18,0.45,0.00,0.01
Plekha4,0.515,56.46,0.22,0.55,0.00,0.01
Fign,0.514,38.21,1.04,0.90,0.03,0.06
Prnp,0.512,73.27,1.49,0.80,0.02,0.06
S1pr3,0.509,51.63,0.28,0.55,0.01,0.01
Gm10863,0.508,307.02,0.34,0.45,0.00,0.00
Tenm3,0.494,78.48,1.47,0.90,0.02,0.03
C4b,0.494,32.20,0.55,0.75,0.02,0.03
Fxyd1,0.493,39.49,0.63,0.75,0.02,0.04
Zfyve28,0.492,33.97,0.12,0.30,0.00,0.01
Ptn,0.492,38.01,0.47,0.50,0.01,0.02
Itgb8,0.489,27.95,0.26,0.65,0.01,0.02
Tafa5,0.488,136.68,0.23,0.50,0.00,0.01
Kcnh8,0.483,370.02,0.47,0.75,0.00,0.00
Il1rapl1,0.482,55.88,1.06,0.80,0.02,0.04
Edil3,0.482,133.40,0.46,0.55,0.00,0.01
Syt11,0.481,20.49,0.20,0.50,0.01,0.04
Cyp2j6,0.478,21.90,0.20,0.50,0.01,0.03
Hmgcs2,0.475,20.83,0.29,0.60,0.01,0.03
Cdh19,0.470,4671.70,2.84,0.90,0.00,0.00
Cnksr2,0.470,310.87,0.46,0.60,0.00,0.00
Adgrl3,0.467,71.10,1.06,0.75,0.01,0.02
Ttyh1,0.463,39.71,0.15,0.45,0.00,0.01
Cryab,0.462,33.22,0.47,0.65,0.01,0.03
Mboat2,0.458,136.78,0.26,0.55,0.00,0.01
Frmd5,0.457,43.00,0.33,0.65,0.01,0.01
Mtss2,0.456,20.84,0.19,0.55,0.01,0.03
Gm29683,0.453,48.65,0.31,0.35,0.01,0.01
Lrrc4c,0.451,36.48,0.30,0.55,0.01,0.02
Lrrc8b,0.451,19.10,0.26,0.50,0.01,0.05
2310002F09Rik,0.450,33.00,0.13,0.40,0.00,0.01
Abca6,0.449,40.86,0.19,0.45,0.00,0.02
Dtna,0.445,21.34,0.20,0.50,0.01,0.02
Gfra2,0.442,52.63,0.19,0.45,0.00,0.01
Lama2,0.440,14.92,1.10,0.95,0.07,0.05
Col28a1,0.437,212.31,0.30,0.55,0.00,0.00
Grik3,0.436,37.66,0.10,0.30,0.00,0.01
Igsf11,0.436,25.81,0.17,0.45,0.01,0.02
Sorcs2,0.427,28.86,0.25,0.50,0.01,0.02
Kcna6,0.427,6685.56,0.88,0.90,0.00,0.00
Gpt2,0.426,13.80,0.15,0.55,0.01,0.03
Nid2,0.425,15.60,0.28,0.60,0.02,0.05
Col5a3,0.425,21.33,0.38,0.70,0.02,0.03
Acot1,0.420,44.87,0.16,0.35,0.00,0.01
Grid2,0.420,46.81,0.31,0.40,0.01,0.01
Cdh2,0.417,63.65,0.55,0.70,0.01,0.02
Npr3,0.417,26.68,0.17,0.30,0.01,0.01
Tenm1,0.414,52.49,0.22,0.30,0.00,0.01
Plekhb1,0.413,34.86,0.13,0.50,0.00,0.01
Aldh1a1,0.409,22.71,0.35,0.65,0.02,0.03
Sema3e,0.409,71.70,0.22,0.45,0.00,0.01
Sorcs1,0.408,200.07,0.58,0.50,0.00,0.01
Crppa,0.406,21.89,0.38,0.70,0.02,0.05
Amph,0.406,56.89,0.19,0.40,0.00,0.01
Scamp5,0.405,12.87,0.07,0.30,0.01,0.02
Pmp22,0.400,20.55,0.59,0.75,0.03,0.08
Adam11,0.397,262.56,0.30,0.50,0.00,0.00
Fbxo7,0.396,15.73,0.34,0.70,0.02,0.08
Cnp,0.395,12.00,0.29,0.50,0.02,0.08
Dok6,0.394,53.18,0.21,0.30,0.00,0.01
Col27a1,0.394,16.60,0.18,0.55,0.01,0.03
Insc,0.392,213.75,0.28,0.60,0.00,0.00
Afap1l2,0.391,40.14,0.31,0.55,0.01,0.02
Angptl4,0.390,20.60,0.11,0.30,0.01,0.01
Anln,0.390,22.64,0.10,0.25,0.00,0.01
Sfrp1,0.386,17.44,0.24,0.45,0.01,0.02
Gulp1,0.384,31.57,1.89,0.90,0.06,0.11
Sema6d,0.383,12.48,0.58,0.85,0.05,0.10
Ncam2,0.383,35.88,0.24,0.40,0.01,0.01
2900052L18Rik,0.381,18.10,0.10,0.20,0.01,0.02
Mir100hg,0.381,16.38,0.51,0.80,0.03,0.05
Dmd,0.380,28.38,1.44,0.90,0.05,0.08
Metrn,0.379,15.95,0.08,0.25,0.01,0.02
Adgb,0.378,39.27,0.15,0.25,0.00,0.01
Ank3,0.378,38.61,3.87,0.90,0.10,0.11
Lpar1,0.377,11.61,0.19,0.45,0.02,0.03
Il1rap,0.376,12.03,0.24,0.45,0.02,0.06
Kirrel,0.374,22.17,0.34,0.55,0.02,0.03
Olfml2b,0.373,23.43,0.19,0.40,0.01,0.02
Plppr3,0.372,77.44,0.13,0.20,0.00,0.01
Rarres2,0.371,21.32,0.67,0.80,0.03,0.04
Gas7,0.369,14.74,0.83,0.85,0.06,0.12
Adgrg6,0.368,13.70,0.27,0.60,0.02,0.05
Ephb2,0.365,16.81,0.16,0.40,0.01,0.02
Fads6,0.362,13.46,0.09,0.30,0.01,0.02
Sema4f,0.360,23.99,0.06,0.25,0.00,0.01
Reck,0.359,19.28,0.12,0.35,0.01,0.02
Pdzd2,0.359,13.39,0.66,0.80,0.05,0.10
Itgb4,0.358,14.83,0.30,0.55,0.02,0.05
Itih5,0.358,13.58,0.61,0.50,0.04,0.08
Plce1,0.357,24.77,0.91,0.90,0.04,0.06
Gask1b,0.357,11.65,0.23,0.40,0.02,0.05
Pcbp4,0.357,17.50,0.11,0.35,0.01,0.02
Matn4,0.356,17.93,0.19,0.35,0.01,0.02
Col14a1,0.355,11.73,0.62,0.65,0.05,0.08
Prrg3,0.355,30.15,0.09,0.30,0.00,0.01
Klk8,0.353,14.58,0.09,0.15,0.01,0.03
Megf9,0.353,20.29,0.30,0.60,0.01,0.04
Fads1,0.353,14.24,0.23,0.45,0.02,0.06
Slc22a23,0.353,17.33,0.33,0.60,0.02,0.05
Macrod2,0.352,25.48,0.57,0.60,0.02,0.05
Dhrs1,0.351,12.29,0.17,0.45,0.01,0.05
Nrn1,0.350,376.37,0.30,0.55,0.00,0.00
Nr4a2,0.349,10.86,0.11,0.40,0.01,0.03
Olfml2a,0.348,26.16,0.11,0.35,0.00,0.01
Adamts12,0.345,15.18,0.43,0.55,0.03,0.04
Postn,0.345,13.96,0.73,0.65,0.05,0.06
Ntrk2,0.344,19.90,0.13,0.40,0.01,0.01
Fgf2,0.344,17.16,0.14,0.35,0.01,0.02
Phldb1,0.344,12.46,0.26,0.60,0.02,0.07
Itgb3,0.343,11.65,0.12,0.30,0.01,0.03
Mgat3,0.339,72.12,0.16,0.40,0.00,0.01
Kcnk13,0.339,5.89,0.14,0.35,0.02,0.06
Kcna1,0.337,3044.66,1.32,0.85,0.00,0.00
Slc2a13,0.334,11.35,0.20,0.50,0.02,0.04
Pex5l,0.334,416.71,0.44,0.55,0.00,0.00
Ndst3,0.332,203.54,0.30,0.35,0.00,0.00
Pdlim4,0.330,14.75,0.20,0.40,0.01,0.05
Ntng1,0.326,444.54,0.33,0.55,0.00,0.00
Apod,0.324,418.17,0.47,0.35,0.00,0.00
Pkia,0.324,27.05,0.31,0.50,0.01,0.03
Ctnnal1,0.323,22.36,0.17,0.40,0.01,0.02
Rnd3,0.322,16.64,0.25,0.45,0.02,0.04
Col18a1,0.322,28.22,0.49,0.65,0.02,0.04
Ttyh2,0.321,11.98,0.11,0.30,0.01,0.03
Tspan15,0.320,7.80,0.12,0.35,0.02,0.05
Zfhx4,0.320,14.56,0.28,0.75,0.02,0.04
Gfra3,0.319,1149.33,0.44,0.70,0.00,0.00
Hbegf,0.319,10.69,0.08,0.35,0.01,0.02
Mbp,0.319,16.25,1.05,0.85,0.06,0.16
Eda,0.319,13.33,0.86,0.80,0.06,0.08
P2rx7,0.318,5.68,0.18,0.50,0.03,0.09
Zfp219,0.318,11.46,0.11,0.40,0.01,0.03
Sorbs1,0.316,12.58,0.81,0.80,0.06,0.14
Fads2,0.316,12.55,0.25,0.50,0.02,0.05
Sox6,0.316,15.65,0.88,0.85,0.06,0.08
Lrrn2,0.314,38.00,0.09,0.25,0.00,0.01
Cd59a,0.314,18.36,0.28,0.35,0.01,0.04
Rabggta,0.313,9.10,0.06,0.30,0.01,0.02
Cadm1,0.312,9.97,0.72,0.80,0.07,0.11
Gfra1,0.310,42.37,0.13,0.30,0.00,0.01
Luzp2,0.310,1055.11,0.57,0.65,0.00,0.00
Cadm3,0.309,21.15,0.08,0.25,0.00,0.01
Sgce,0.308,13.85,0.20,0.50,0.01,0.04
Sgcb,0.308,12.88,0.09,0.25,0.01,0.02
Gk,0.306,8.16,0.07,0.20,0.01,0.03
Glis2,0.306,8.48,0.10,0.35,0.01,0.03
Antxr2,0.305,7.63,0.43,0.80,0.06,0.15
Pcdh11x,0.304,288.65,0.32,0.35,0.00,0.00
Hand2os1,0.304,13.61,0.13,0.35,0.01,0.02
Zfp651,0.303,33.17,0.12,0.25,0.00,0.01
Arhgap39,0.303,10.81,0.35,0.65,0.03,0.10
Stard13,0.302,38.22,3.72,0.95,0.10,0.17
Daam2,0.301,23.49,0.17,0.40,0.01,0.01
