gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Mfap4,0.149,5.12,0.05,0.06,0.01,0.02
Gadd45a,0.148,6.50,0.04,0.05,0.01,0.02
S100a6,0.147,9.83,2.49,0.71,0.25,0.25
Mif,0.145,4.44,0.33,0.29,0.07,0.19
Sphk1,0.145,10.10,0.04,0.04,0.00,0.01
Tceal8,0.145,6.12,0.09,0.10,0.01,0.04
Dnm1,0.145,5.04,0.04,0.06,0.01,0.02
Dpt,0.144,3.60,0.11,0.08,0.03,0.03
Egr2,0.142,18.34,0.04,0.05,0.00,0.01
Igf1,0.142,4.16,0.22,0.21,0.05,0.10
Mgp,0.141,4.63,0.70,0.33,0.15,0.08
Crlf1,0.141,5.91,0.07,0.07,0.01,0.03
Tmem263,0.140,5.71,0.10,0.11,0.02,0.06
Tmsb10,0.139,4.59,1.75,0.67,0.38,0.42
Cdkn2b,0.138,22.97,0.04,0.06,0.00,0.01
Col6a1,0.137,4.30,0.21,0.19,0.05,0.06
Hoxb2,0.137,8.35,0.05,0.06,0.01,0.02
Mcrip1,0.136,4.64,0.13,0.16,0.03,0.10
Dclk1,0.136,4.01,0.08,0.09,0.02,0.03
Cdc42ep5,0.134,7.29,0.07,0.09,0.01,0.03
Cdkn1c,0.133,6.92,0.07,0.06,0.01,0.03
Prrx2,0.132,19.44,0.04,0.05,0.00,0.01
Smim1,0.131,7.69,0.07,0.08,0.01,0.02
Kcnk2,0.130,5.72,0.04,0.04,0.01,0.01
Hand2,0.130,10.56,0.07,0.06,0.01,0.01
Smoc2,0.129,3.29,0.06,0.06,0.02,0.02
Dpysl3,0.129,4.90,0.15,0.16,0.03,0.06
Mafb,0.128,2.47,0.12,0.14,0.05,0.11
Snai1,0.127,6.84,0.03,0.04,0.01,0.02
Ufm1,0.126,5.25,0.15,0.15,0.03,0.10
Abracl,0.126,3.67,0.23,0.24,0.06,0.20
Sec61b,0.126,4.26,0.53,0.41,0.12,0.30
Des,0.125,5.82,0.10,0.09,0.02,0.02
Loxl1,0.124,4.29,0.08,0.08,0.02,0.03
Trip6,0.124,5.66,0.04,0.05,0.01,0.02
Col1a1,0.124,2.43,0.75,0.45,0.31,0.17
Sult5a1,0.124,9.18,0.03,0.04,0.00,0.01
Srm,0.124,4.42,0.04,0.06,0.01,0.03
Dact1,0.123,7.61,0.04,0.05,0.01,0.01
Rspo3,0.123,8.01,0.05,0.04,0.01,0.01
Heyl,0.122,9.07,0.04,0.05,0.00,0.01
Cryzl2,0.121,4.63,0.03,0.04,0.01,0.02
Swi5,0.120,4.56,0.28,0.27,0.06,0.19
Gstm2,0.120,5.17,0.10,0.10,0.02,0.05
Rasl11a,0.120,12.78,0.04,0.04,0.00,0.01
Col6a3,0.120,2.99,0.13,0.12,0.04,0.05
Naa38,0.119,4.00,0.08,0.09,0.02,0.08
Mrc2,0.119,3.45,0.07,0.07,0.02,0.04
S100a13,0.118,3.73,0.28,0.27,0.08,0.21
Gpx3,0.118,4.63,0.19,0.16,0.04,0.07
Hcfc1r1,0.118,4.86,0.15,0.17,0.03,0.11
Tk1,0.117,7.78,0.03,0.03,0.00,0.01
Ddah1,0.117,5.27,0.07,0.08,0.01,0.04
Nme2,0.117,4.47,1.18,0.61,0.26,0.45
Col12a1,0.117,5.47,0.04,0.05,0.01,0.01
Birc5,0.117,6.21,0.03,0.04,0.00,0.01
Lix1l,0.117,4.27,0.07,0.09,0.02,0.05
S100a11,0.117,4.75,1.06,0.59,0.22,0.33
Ppa1,0.116,3.60,0.05,0.07,0.01,0.05
Atoh8,0.116,4.41,0.03,0.04,0.01,0.02
Hic1,0.115,4.42,0.03,0.04,0.01,0.02
Twist1,0.115,24.06,0.04,0.05,0.00,0.00
Bcat1,0.115,16.03,0.03,0.04,0.00,0.01
Hmgn2,0.115,3.81,0.05,0.06,0.01,0.04
Smim4,0.115,4.16,0.10,0.12,0.02,0.08
Sec61g,0.114,4.36,0.51,0.39,0.12,0.29
Selenoh,0.114,3.46,0.08,0.09,0.02,0.08
Csrp1,0.114,5.48,0.35,0.29,0.06,0.15
Vkorc1,0.114,5.40,0.11,0.12,0.02,0.07
Selenom,0.114,4.18,0.24,0.25,0.06,0.14
Mt2,0.114,3.42,0.20,0.17,0.06,0.10
Bloc1s1,0.113,3.57,0.04,0.06,0.01,0.05
Prdx2,0.113,4.15,0.24,0.24,0.06,0.17
Tnfaip2,0.113,4.26,0.07,0.07,0.02,0.05
Nans,0.112,3.32,0.06,0.07,0.02,0.06
Col1a2,0.112,3.27,0.72,0.42,0.22,0.15
Mylk,0.112,4.44,0.16,0.16,0.04,0.05
Foxs1,0.111,15.43,0.03,0.04,0.00,0.01
Cstb,0.111,3.03,0.19,0.18,0.06,0.14
Arfip1,0.110,3.69,0.03,0.04,0.01,0.03
Col6a2,0.110,3.48,0.12,0.12,0.03,0.05
Bola1,0.109,4.08,0.05,0.06,0.01,0.05
Tceal9,0.109,3.72,0.34,0.31,0.09,0.20
Gabarap,0.109,3.76,0.52,0.42,0.14,0.33
Gm8797,0.109,3.35,0.06,0.07,0.02,0.06
Snai2,0.109,2.75,0.02,0.02,0.01,0.02
Gm14305,0.109,14.75,0.02,0.04,0.00,0.01
Gadd45g,0.108,3.67,0.10,0.10,0.03,0.06
Uxt,0.107,4.54,0.03,0.04,0.01,0.03
Morf4l2,0.107,4.46,0.21,0.21,0.05,0.14
Barx1,0.107,13.56,0.04,0.04,0.00,0.01
Postn,0.107,3.61,0.18,0.17,0.05,0.05
Rps2,0.107,3.06,1.06,0.57,0.35,0.47
Ift20,0.106,3.63,0.19,0.20,0.05,0.15
Mtch1,0.106,4.14,0.23,0.24,0.06,0.17
Ufc1,0.105,3.36,0.13,0.16,0.04,0.13
Cenpx,0.105,3.59,0.11,0.13,0.03,0.12
S100a16,0.105,4.03,0.17,0.18,0.04,0.10
Micos10,0.105,4.38,0.33,0.28,0.08,0.23
Kdelr3,0.105,5.20,0.03,0.03,0.01,0.02
Tubb2a,0.104,6.62,0.13,0.13,0.02,0.07
Vim,0.104,4.52,1.12,0.64,0.25,0.34
Serf2,0.104,3.85,1.34,0.64,0.35,0.53
Rbm3,0.104,3.22,0.37,0.33,0.12,0.30
Nme1,0.104,2.88,0.18,0.19,0.06,0.18
Cks2,0.104,5.38,0.05,0.04,0.01,0.03
Top2a,0.103,3.34,0.06,0.04,0.02,0.03
Cthrc1,0.103,5.87,0.03,0.03,0.00,0.01
Tpm1,0.103,3.40,0.37,0.30,0.11,0.20
Pold4,0.103,2.47,0.09,0.12,0.04,0.13
Igfbp4,0.103,4.33,0.51,0.34,0.12,0.19
Ier5l,0.103,2.54,0.05,0.06,0.02,0.06
Maged1,0.103,4.14,0.14,0.15,0.03,0.09
Dact3,0.103,15.19,0.04,0.05,0.00,0.01
Pde6a,0.103,2.28,0.04,0.04,0.02,0.03
Lsp1,0.103,2.80,0.30,0.25,0.11,0.21
Eva1b,0.103,2.57,0.08,0.11,0.03,0.09
Myl6,0.103,3.65,1.32,0.63,0.36,0.52
Calm3,0.102,3.52,0.23,0.27,0.06,0.19
Spc24,0.102,5.46,0.02,0.03,0.00,0.01
Slc25a4,0.102,4.11,0.25,0.26,0.06,0.18
Gm14325,0.102,4.65,0.03,0.04,0.01,0.03
Sertad4,0.102,10.47,0.03,0.03,0.00,0.01
Uap1l1,0.102,3.17,0.04,0.04,0.01,0.04
Tstd3,0.101,3.41,0.02,0.03,0.01,0.02
Mfap2,0.101,2.68,0.03,0.03,0.01,0.03
Nnmt,0.101,7.26,0.02,0.04,0.00,0.01
Hmgcs2,0.100,7.67,0.09,0.09,0.01,0.03
Myl9,0.100,3.62,0.08,0.08,0.02,0.02
Exoc3l4,0.100,2.85,0.02,0.03,0.01,0.03
Gng11,0.100,2.77,0.24,0.23,0.09,0.14
Cks1b,0.100,4.81,0.02,0.04,0.00,0.02
Serpinf1,0.100,3.02,0.04,0.05,0.01,0.03
Eef1b2,0.100,2.62,0.92,0.56,0.35,0.49
Med9,0.100,4.17,0.03,0.04,0.01,0.03
Ube2l6,0.099,4.65,0.02,0.03,0.00,0.02
Sec13,0.099,3.10,0.06,0.09,0.02,0.07
Ssr4,0.099,3.03,0.28,0.29,0.09,0.25
Mrfap1,0.099,3.14,0.24,0.25,0.08,0.22
S100a1,0.099,3.80,0.11,0.13,0.03,0.09
Col3a1,0.099,2.19,0.89,0.45,0.41,0.20
Plaat3,0.099,3.56,0.10,0.12,0.03,0.09
Kctd11,0.099,8.57,0.04,0.05,0.00,0.02
Bad,0.099,3.86,0.06,0.07,0.01,0.06
Crat,0.099,4.23,0.04,0.04,0.01,0.04
Ptges3l,0.099,10.53,0.02,0.03,0.00,0.01
Uqcr10,0.099,3.14,0.25,0.25,0.08,0.23
Bod1,0.099,3.66,0.04,0.05,0.01,0.04
Ube2c,0.099,3.71,0.02,0.03,0.01,0.02
Sra1,0.099,3.50,0.10,0.11,0.03,0.10
Mrpl16,0.099,4.21,0.04,0.05,0.01,0.04
Gstt3,0.098,4.70,0.02,0.03,0.00,0.02
Tcf21,0.097,16.47,0.02,0.03,0.00,0.00
Kif26b,0.097,4.45,0.04,0.05,0.01,0.02
Gm10076,0.097,2.99,0.12,0.13,0.04,0.13
Chmp1a,0.097,3.10,0.06,0.06,0.02,0.07
