gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
4930417O13Rik,0.132,5.27,0.02,0.03,0.00,0.01
Gm17545,0.132,10.08,0.02,0.03,0.00,0.01
Myo1g,0.131,3.21,0.09,0.11,0.03,0.10
Pde11a,0.131,4.66,0.02,0.03,0.00,0.01
Slc20a1,0.130,4.20,0.05,0.06,0.01,0.04
Kcnn4,0.130,3.89,0.09,0.11,0.02,0.07
AI504432,0.130,2.87,0.04,0.05,0.02,0.06
Tecpr1,0.129,3.13,0.14,0.16,0.04,0.14
1700097N02Rik,0.128,3.13,0.02,0.03,0.01,0.02
Tnfrsf18,0.128,3.63,0.02,0.03,0.01,0.02
Sema4d,0.128,2.72,0.18,0.20,0.07,0.18
Dock11,0.128,2.74,0.36,0.34,0.13,0.27
A630023P12Rik,0.128,4.20,0.03,0.03,0.01,0.02
Psd4,0.128,2.90,0.07,0.09,0.02,0.09
Slamf1,0.128,2.33,0.02,0.04,0.01,0.03
Ifi206,0.127,2.03,0.03,0.04,0.01,0.05
Nars2,0.127,3.47,0.09,0.11,0.03,0.08
Mirt1,0.127,3.83,0.04,0.03,0.01,0.03
Dok2,0.127,4.48,0.02,0.03,0.00,0.02
Cytip,0.126,2.19,0.17,0.18,0.08,0.17
Gm27201,0.126,4.72,0.02,0.03,0.00,0.02
Runx1,0.126,2.22,0.63,0.42,0.28,0.34
B630019A10Rik,0.126,3.16,0.02,0.03,0.01,0.02
Gm30054,0.126,2.47,0.03,0.04,0.01,0.05
Fyn,0.125,3.22,0.55,0.41,0.17,0.30
Traj18,0.125,10.70,0.03,0.03,0.00,0.01
Map4k1,0.125,3.24,0.08,0.09,0.02,0.08
Dapl1,0.125,2.16,0.02,0.03,0.01,0.02
5830428M24Rik,0.124,3.12,0.04,0.05,0.01,0.04
Selplg,0.124,2.85,0.14,0.15,0.05,0.14
St6gal1,0.124,2.54,0.33,0.31,0.13,0.25
Tmem156,0.123,4.00,0.04,0.05,0.01,0.03
Pced1b,0.123,3.36,0.24,0.23,0.07,0.18
Ubxn11,0.123,6.31,0.03,0.04,0.01,0.02
H2-T24,0.123,4.65,0.04,0.04,0.01,0.04
Emb,0.123,2.83,0.16,0.16,0.06,0.13
Bach2,0.123,1.81,0.64,0.46,0.36,0.35
Chd3,0.123,3.43,0.27,0.29,0.08,0.20
Arl5c,0.123,3.97,0.03,0.04,0.01,0.03
Rasa3,0.122,2.75,0.23,0.23,0.08,0.21
Arhgef18,0.122,2.19,0.27,0.24,0.12,0.22
Mir155hg,0.122,10.68,0.04,0.04,0.00,0.01
AI467606,0.121,3.13,0.03,0.05,0.01,0.05
Ppm1h,0.121,2.71,0.50,0.38,0.18,0.31
Abhd6,0.121,3.77,0.05,0.07,0.01,0.04
Sh3kbp1,0.121,1.98,0.39,0.38,0.20,0.33
Tnfrsf25,0.121,5.75,0.02,0.03,0.00,0.02
Rab3ip,0.121,3.02,0.12,0.13,0.04,0.11
Ets1,0.121,2.14,0.64,0.47,0.30,0.36
