gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Pmm1,0.165,4.05,0.07,0.23,0.02,0.04
Dcxr,0.162,3.54,0.03,0.13,0.01,0.03
Klk1b3,0.160,12.82,0.03,0.09,0.00,0.01
Rps27l,0.159,5.02,0.72,0.70,0.14,0.28
Chchd10,0.155,2.49,0.09,0.32,0.04,0.09
2410006H16Rik,0.155,3.18,0.27,0.49,0.08,0.21
Cdkn1a,0.155,2.61,0.10,0.23,0.04,0.09
Car9,0.154,6.20,0.02,0.08,0.00,0.01
Phgdh,0.154,2.94,0.09,0.31,0.03,0.07
Dmbt1,0.151,4.86,2.94,0.94,0.60,0.40
Pnliprp1,0.151,8.39,12.72,0.97,1.52,0.50
Try5,0.151,16.94,24.26,0.99,1.43,0.56
Snhg6,0.151,3.71,0.06,0.23,0.02,0.06
Zfas1,0.151,3.27,0.16,0.37,0.05,0.14
Cdc34,0.150,3.66,0.09,0.23,0.02,0.08
Dhx34,0.149,3.53,0.10,0.28,0.03,0.07
Clu,0.148,7.52,7.96,0.94,1.06,0.44
Fetub,0.148,7.67,0.03,0.07,0.00,0.01
Rab25,0.147,3.51,0.02,0.14,0.01,0.02
Ccng1,0.147,3.12,0.09,0.26,0.03,0.09
Fuom,0.146,3.19,0.04,0.15,0.01,0.04
Serpini2,0.144,3.02,0.25,0.42,0.08,0.10
Cpn1,0.144,4.30,0.04,0.13,0.01,0.02
Zg16,0.144,3.14,2.34,0.80,0.74,0.32
Pla2g1b,0.144,2.64,0.46,0.55,0.17,0.15
Perp,0.143,4.06,0.03,0.13,0.01,0.02
Serpina6,0.142,10.33,0.04,0.08,0.00,0.01
Cabp2,0.141,3.05,0.06,0.19,0.02,0.03
Cpa1,0.140,4.52,8.92,0.98,1.97,0.52
Prss2,0.139,8.43,19.48,1.00,2.31,0.60
Cpa2,0.138,2.22,0.76,0.73,0.34,0.21
Hpn,0.137,3.70,0.04,0.12,0.01,0.03
Sephs2,0.137,3.53,0.07,0.16,0.02,0.05
Ctrc,0.137,2.24,1.09,0.71,0.49,0.24
Gp2,0.136,1.97,0.29,0.53,0.15,0.12
Stbd1,0.136,7.24,0.03,0.12,0.00,0.01
Ptf1a,0.135,3.92,0.03,0.08,0.01,0.02
Vtn,0.135,3.61,0.06,0.16,0.02,0.03
Cel,0.133,3.14,2.26,0.76,0.72,0.33
Spint2,0.128,2.89,0.16,0.39,0.05,0.12
Pdia2,0.127,2.83,0.23,0.42,0.08,0.09
Mrpl54,0.127,2.80,0.09,0.26,0.03,0.11
Syne4,0.127,4.09,0.02,0.11,0.01,0.01
Clps,0.122,2.95,12.25,1.00,4.15,0.59
Nhp2,0.121,2.43,0.07,0.23,0.03,0.09
Reep5,0.120,2.81,0.26,0.51,0.09,0.25
Snhg1,0.120,2.18,0.08,0.24,0.04,0.11
P2rx1,0.120,2.79,0.04,0.12,0.01,0.03
Rnase1,0.119,2.32,4.02,0.94,1.74,0.50
Xbp1,0.117,2.57,0.21,0.41,0.08,0.19
Sco2,0.117,2.68,0.01,0.04,0.00,0.02
2210010C04Rik,0.117,2.21,5.40,0.91,2.44,0.47
Prr15l,0.116,2.50,0.04,0.15,0.02,0.04
Eif4ebp1,0.116,2.34,0.07,0.21,0.03,0.09
Smim26,0.116,2.28,0.03,0.09,0.01,0.04
Crlf1,0.116,2.77,0.03,0.17,0.01,0.02
Lyrm9,0.115,2.93,0.03,0.11,0.01,0.03
Uqcrq,0.115,2.72,0.34,0.54,0.13,0.29
Cnpy2,0.115,2.49,0.10,0.26,0.04,0.12
Rpl22l1,0.115,2.42,0.61,0.70,0.25,0.41
Gm10260,0.114,2.11,0.03,0.13,0.02,0.06
Gcat,0.114,1.88,0.04,0.17,0.02,0.04
Gm11361,0.114,2.18,0.10,0.27,0.04,0.13
Psmb10,0.113,3.12,0.20,0.36,0.07,0.18
Nupr1,0.113,4.72,3.13,0.71,0.66,0.37
Cckar,0.113,2.24,0.11,0.26,0.05,0.08
Krt8,0.113,2.42,0.34,0.39,0.14,0.14
Mif,0.113,2.18,0.17,0.39,0.08,0.19
Cd63,0.111,2.41,0.29,0.54,0.12,0.20
Ppp1r14b,0.111,2.56,0.14,0.34,0.06,0.15
Dap,0.111,2.48,0.26,0.50,0.11,0.21
Nudt22,0.109,2.52,0.02,0.07,0.01,0.03
Sdhaf1,0.109,2.77,0.03,0.07,0.01,0.04
Plpp2,0.109,2.79,0.02,0.09,0.01,0.02
Reg1,0.109,16.29,41.29,1.00,2.54,0.81
Rps26,0.108,2.53,2.02,0.89,0.80,0.62
Fam149a,0.108,2.82,0.02,0.09,0.01,0.02
Cystm1,0.108,2.96,0.08,0.28,0.03,0.06
Asns,0.108,2.05,0.07,0.27,0.03,0.07
Shisa4,0.108,4.42,0.02,0.11,0.01,0.01
Krtcap2,0.107,2.62,0.23,0.46,0.09,0.24
Ctsl,0.107,2.93,0.39,0.51,0.13,0.25
Nudt8,0.107,3.53,0.02,0.08,0.01,0.02
Gas5,0.107,2.53,0.46,0.63,0.18,0.36
Mat1a,0.107,2.80,0.03,0.06,0.01,0.02
Dctpp1,0.106,3.50,0.05,0.13,0.01,0.06
Bspry,0.106,3.28,0.02,0.09,0.00,0.01
Tnfrsf12a,0.106,2.30,0.03,0.10,0.01,0.03
Gfer,0.105,2.41,0.02,0.11,0.01,0.04
Mettl26,0.105,1.89,0.06,0.28,0.03,0.09
Comtd1,0.105,2.37,0.02,0.06,0.01,0.03
Spint1,0.105,2.96,0.03,0.11,0.01,0.03
Cpb1,0.105,1.86,6.90,0.93,3.70,0.57
Gc,0.105,4.97,0.02,0.05,0.00,0.01
Npw,0.104,8.63,0.02,0.08,0.00,0.01
Rps2,0.103,2.23,0.79,0.73,0.36,0.47
Rpl35,0.103,1.98,0.40,0.61,0.20,0.38
Zfp593,0.103,2.01,0.02,0.12,0.01,0.04
Svip,0.102,3.30,0.03,0.14,0.01,0.03
Urah,0.102,3.40,0.02,0.08,0.00,0.01
Stard10,0.102,2.23,0.08,0.26,0.03,0.07
Fxyd3,0.102,3.04,0.05,0.16,0.02,0.04
Eif3i,0.102,1.82,0.09,0.34,0.05,0.17
Cib2,0.101,2.88,0.01,0.06,0.00,0.01
Krt19,0.101,2.54,0.09,0.29,0.04,0.06
Ftl1-ps1,0.101,1.69,0.58,0.40,0.34,0.25
1810053B23Rik,0.100,2.00,0.05,0.16,0.03,0.04
Ctrb1,0.100,16.87,89.97,1.00,5.33,0.90
Psmd8,0.100,2.00,0.10,0.27,0.05,0.16
Mt1,0.100,2.73,0.61,0.56,0.22,0.28
Snhg12,0.100,1.95,0.05,0.20,0.03,0.09
Eef1b2,0.100,1.92,0.69,0.77,0.36,0.49
Cela1,0.099,1.30,3.86,0.87,2.97,0.45
Rpl36a,0.099,1.93,0.67,0.72,0.35,0.46
Rpl36al,0.099,1.92,0.44,0.63,0.23,0.42
Cldn4,0.099,1.58,0.03,0.08,0.02,0.03
Smim1,0.098,4.32,0.04,0.13,0.01,0.02
Ndufb6,0.098,2.18,0.05,0.17,0.03,0.09
Mrpl53,0.098,2.16,0.05,0.20,0.02,0.08
Rpl10a,0.098,1.97,1.03,0.83,0.52,0.56
Homer2,0.098,2.40,0.06,0.12,0.03,0.05
Rpl37,0.098,2.14,1.99,0.90,0.93,0.66
Tmed3,0.097,2.66,0.10,0.30,0.04,0.11
Ssr4,0.097,2.05,0.20,0.44,0.10,0.25
Tff2,0.097,1.14,0.30,0.49,0.27,0.19
Mrpl55,0.097,2.67,0.03,0.08,0.01,0.05
Npm1,0.097,2.17,0.69,0.73,0.32,0.47
Rps17,0.097,2.07,0.90,0.79,0.43,0.56
Mrpl58,0.096,2.04,0.05,0.19,0.03,0.09
Serpinb1a,0.096,1.53,0.07,0.25,0.05,0.10
Emc6,0.096,1.68,0.05,0.24,0.03,0.10
Ndufa6,0.096,2.18,0.21,0.45,0.10,0.26
Ndufs6,0.096,2.02,0.12,0.34,0.06,0.17
Ugt2b34,0.096,6.02,0.02,0.05,0.00,0.01
Naca,0.096,2.10,0.64,0.74,0.31,0.49
Ptrh2,0.095,2.68,0.03,0.08,0.01,0.04
Gm2000,0.095,1.59,0.09,0.32,0.06,0.18
Cd320,0.095,2.32,0.01,0.07,0.01,0.02
Ubl4a,0.095,2.11,0.04,0.15,0.02,0.06
Bmp7,0.094,2.78,0.02,0.04,0.01,0.02
Nme2,0.094,1.98,0.56,0.72,0.28,0.45
Mea1,0.094,2.00,0.03,0.09,0.01,0.05
Eef1g,0.094,1.83,0.36,0.61,0.20,0.40
Selenop,0.094,1.55,0.47,0.61,0.31,0.35
Rpl38,0.094,1.77,1.23,0.88,0.70,0.62
2310039H08Rik,0.094,1.61,0.02,0.08,0.01,0.04
Stap2,0.093,1.85,0.01,0.06,0.01,0.03
Sec61g,0.093,2.16,0.27,0.52,0.12,0.28
Rpl41,0.093,2.28,2.75,0.91,1.21,0.73
Hspe1,0.093,1.61,0.15,0.41,0.09,0.24
Rps18,0.093,1.77,1.49,0.87,0.84,0.62
Mest,0.093,3.53,0.02,0.04,0.01,0.02
Ambp,0.092,2.20,0.03,0.09,0.01,0.03
Rpl34,0.092,1.69,1.51,0.91,0.89,0.64
Ppa1,0.092,2.39,0.04,0.11,0.01,0.05
Sdsl,0.092,3.53,0.01,0.04,0.00,0.01
Mrps34,0.092,1.60,0.03,0.13,0.02,0.07
