gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Lgmn,0.380,16.79,0.87,0.89,0.05,0.10
Myo1f,0.379,11.93,0.52,0.87,0.04,0.08
Tmem273,0.378,11.21,0.05,0.24,0.00,0.01
Cmklr1,0.374,15.71,0.10,0.38,0.01,0.02
Klra2,0.373,26.96,0.07,0.19,0.00,0.00
Mitf,0.372,14.47,0.62,0.85,0.04,0.09
Lyz2,0.372,29.20,5.57,0.97,0.19,0.16
Pf4,0.370,14.41,0.09,0.27,0.01,0.01
Cd300a,0.370,14.99,0.12,0.44,0.01,0.02
Tmem86a,0.369,12.12,0.10,0.38,0.01,0.02
Stab1,0.369,19.43,0.94,0.84,0.05,0.09
Kcnk13,0.368,31.42,0.17,0.49,0.01,0.01
Ncf1,0.368,8.43,0.20,0.63,0.02,0.06
Sirpa,0.366,16.42,0.60,0.89,0.04,0.07
Nlrp1b,0.365,14.09,0.07,0.27,0.00,0.01
Tmem37,0.365,13.54,0.04,0.21,0.00,0.01
Pid1,0.365,19.60,2.21,0.97,0.11,0.10
Ophn1,0.364,14.43,0.63,0.81,0.04,0.10
Tmem106a,0.362,12.08,0.13,0.50,0.01,0.03
Ctsc,0.361,16.51,0.96,0.88,0.06,0.13
Rnf150,0.361,15.90,0.33,0.59,0.02,0.04
Mertk,0.360,13.43,0.47,0.72,0.04,0.08
Ccr2,0.360,16.18,0.50,0.56,0.03,0.05
Fcer1g,0.358,14.81,0.81,0.82,0.05,0.06
Abcc3,0.358,9.71,0.09,0.38,0.01,0.03
Adap2os,0.356,15.80,0.07,0.33,0.00,0.01
Abcd2,0.354,18.99,0.05,0.21,0.00,0.01
Pld4,0.353,10.93,0.23,0.68,0.02,0.05
Fcgr4,0.352,23.88,0.03,0.17,0.00,0.00
Plek,0.352,12.10,0.53,0.71,0.04,0.09
Cybb,0.350,9.25,0.44,0.78,0.05,0.09
Card9,0.347,16.69,0.03,0.18,0.00,0.01
Metrnl,0.346,13.94,0.10,0.41,0.01,0.02
Slc38a6,0.346,9.77,0.24,0.61,0.02,0.07
Fmn1,0.343,12.01,0.32,0.65,0.03,0.06
Hpse,0.343,12.43,0.06,0.24,0.01,0.02
Nfam1,0.342,10.99,0.13,0.51,0.01,0.03
Tgfbi,0.342,16.80,0.49,0.71,0.03,0.05
Ctss,0.341,13.24,1.55,0.95,0.12,0.17
Ptpro,0.339,16.28,0.10,0.38,0.01,0.02
Abca9,0.339,14.46,0.22,0.54,0.01,0.03
Il10ra,0.338,8.40,0.16,0.55,0.02,0.05
E230029C05Rik,0.338,14.29,0.07,0.26,0.00,0.01
Cfp,0.337,11.75,0.14,0.47,0.01,0.03
Fcgr2b,0.336,14.17,0.27,0.67,0.02,0.05
Tlr2,0.336,12.54,0.06,0.23,0.00,0.01
Sirpb1c,0.335,16.92,0.06,0.26,0.00,0.01
Abhd12,0.332,8.94,0.31,0.73,0.03,0.10
Gm5150,0.332,16.19,0.05,0.18,0.00,0.01
Ntpcr,0.331,9.32,0.08,0.35,0.01,0.03
Cyth4,0.328,9.22,0.32,0.78,0.03,0.09
Alox5ap,0.328,13.07,0.18,0.55,0.01,0.03
Ncf2,0.328,7.25,0.18,0.61,0.03,0.06
Mafb,0.328,9.88,0.24,0.64,0.02,0.04
Arrb2,0.327,7.78,0.19,0.62,0.02,0.07
Ly86,0.325,8.19,0.55,0.83,0.07,0.11
Tnfaip8l2,0.324,7.46,0.11,0.43,0.01,0.05
Tnfrsf11a,0.324,12.95,0.21,0.57,0.02,0.03
Slc26a11,0.324,7.26,0.08,0.31,0.01,0.04
Snx24,0.323,15.42,0.52,0.77,0.03,0.07
Cd84,0.323,5.26,0.30,0.69,0.06,0.12
Fam20c,0.323,14.45,0.16,0.41,0.01,0.03
Cyp4f18,0.323,5.53,0.05,0.23,0.01,0.02
Ccl4,0.322,15.65,0.12,0.14,0.01,0.01
Dpep2,0.322,48.19,0.03,0.14,0.00,0.00
Dclre1c,0.322,10.49,0.23,0.60,0.02,0.06
Dse,0.321,11.20,0.22,0.58,0.02,0.05
Man1c1,0.318,10.85,0.40,0.74,0.04,0.09
Hk2,0.318,9.31,0.06,0.27,0.01,0.02
Lpcat2,0.318,14.98,0.16,0.48,0.01,0.03
Spi1,0.317,9.86,0.29,0.73,0.03,0.06
Rgs1,0.317,13.87,0.11,0.17,0.01,0.02
Tyrobp,0.317,11.66,0.69,0.82,0.06,0.07
AB124611,0.315,6.16,0.11,0.45,0.02,0.06
Rgs10,0.314,7.63,0.25,0.65,0.03,0.08
Dok3,0.314,5.79,0.08,0.37,0.01,0.04
Gpr65,0.313,6.45,0.05,0.22,0.01,0.02
Csf2ra,0.312,10.47,0.11,0.44,0.01,0.03
Gnpda1,0.311,7.52,0.08,0.36,0.01,0.03
Havcr2,0.310,12.06,0.05,0.23,0.00,0.01
Naip5,0.310,17.60,0.03,0.15,0.00,0.01
Hgf,0.309,16.92,0.06,0.25,0.00,0.01
Renbp,0.308,7.88,0.06,0.29,0.01,0.02
5033421B08Rik,0.308,27.14,0.04,0.16,0.00,0.01
Gm46224,0.308,12.82,0.04,0.21,0.00,0.01
Hck,0.307,8.43,0.15,0.51,0.02,0.04
Adap2,0.307,9.67,0.32,0.77,0.03,0.06
Cebpa,0.304,6.82,0.09,0.39,0.01,0.03
Galc,0.303,11.18,0.10,0.40,0.01,0.03
Ctsa,0.302,8.71,0.38,0.80,0.04,0.12
Rasgrp4,0.302,11.69,0.05,0.24,0.00,0.01
Emilin2,0.302,8.65,0.07,0.31,0.01,0.02
Fyb,0.300,6.36,0.88,0.94,0.14,0.17
Tifab,0.297,12.06,0.04,0.22,0.00,0.01
Gna15,0.296,9.09,0.04,0.22,0.00,0.02
Pik3r6,0.295,6.98,0.07,0.29,0.01,0.03
Wfdc17,0.294,10.23,0.28,0.53,0.03,0.04
Tfec,0.294,41.25,0.03,0.12,0.00,0.00
Daglb,0.292,9.07,0.12,0.47,0.01,0.04
Nckap1l,0.292,5.61,0.24,0.69,0.04,0.11
Hk3,0.292,25.19,0.03,0.13,0.00,0.00
Milr1,0.291,6.78,0.04,0.23,0.01,0.02
Slc7a7,0.291,8.21,0.13,0.46,0.02,0.04
Gna12,0.291,8.89,0.39,0.75,0.04,0.11
Pnpla7,0.290,6.90,0.22,0.61,0.03,0.09
Ccl12,0.290,33.29,0.04,0.12,0.00,0.00
Cd200r1,0.290,7.86,0.07,0.28,0.01,0.03
Unc93b1,0.290,6.90,0.49,0.88,0.07,0.16
Bcl2a1b,0.290,7.14,0.06,0.22,0.01,0.03
Clec4n,0.289,9.95,0.03,0.14,0.00,0.01
Sirpb1b,0.288,11.21,0.07,0.25,0.01,0.01
Gpnmb,0.288,20.68,0.23,0.25,0.01,0.02
Susd3,0.288,6.15,0.06,0.30,0.01,0.04
Cbr2,0.288,12.38,0.04,0.14,0.00,0.01
Snx8,0.288,5.12,0.13,0.46,0.03,0.07
Lyl1,0.287,5.41,0.06,0.30,0.01,0.03
