gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Galnt13,0.277,7.72,0.12,0.19,0.02,0.02
Ndst4,0.276,649.96,0.55,0.33,0.00,0.00
Noct,0.276,7.03,0.09,0.22,0.01,0.04
Tmem117,0.275,24.06,0.09,0.26,0.00,0.01
Cdh8,0.273,83.87,0.19,0.33,0.00,0.00
Prepl,0.273,10.88,0.11,0.19,0.01,0.04
Rgs17,0.272,27.21,0.09,0.33,0.00,0.01
Dpf3,0.272,9.22,0.06,0.15,0.01,0.02
Gpr158,0.272,461.97,0.45,0.30,0.00,0.00
Mapk10,0.272,63.26,0.18,0.30,0.00,0.00
Celf4,0.271,16.41,0.10,0.26,0.01,0.02
Slc2a2,0.269,194.83,0.24,0.26,0.00,0.00
Fam151b,0.267,9.22,0.05,0.15,0.00,0.02
Kcnb2,0.267,211.56,0.40,0.37,0.00,0.00
Nav2,0.265,13.11,1.32,0.70,0.10,0.17
Gm47071,0.263,24.25,0.05,0.19,0.00,0.01
Lekr1,0.262,11.43,0.07,0.15,0.01,0.02
Kif12,0.262,23.45,0.07,0.30,0.00,0.01
Kif5c,0.261,12.73,0.06,0.22,0.00,0.02
Gabbr2,0.259,99.37,0.13,0.30,0.00,0.00
Caprin2,0.259,22.61,0.09,0.11,0.00,0.01
Plekha6,0.258,6.36,0.12,0.41,0.02,0.04
Stk32a,0.258,199.34,0.23,0.37,0.00,0.00
Rhobtb1,0.257,11.25,0.42,0.48,0.04,0.09
Tm4sf4,0.257,6.70,0.18,0.33,0.03,0.04
Erc2,0.257,7.44,0.18,0.41,0.02,0.04
Nkx2-2,0.256,21.75,0.07,0.22,0.00,0.01
Pcbp3,0.256,4.96,0.13,0.37,0.03,0.08
Snap25,0.256,2222.45,0.41,0.56,0.00,0.00
Ins1,0.254,164.57,17.55,0.59,0.11,0.13
Ankrd55,0.253,18.05,0.05,0.19,0.00,0.01
Slc16a12,0.253,15.93,0.10,0.26,0.01,0.02
Cdh2,0.253,36.42,0.33,0.52,0.01,0.02
Sdk1,0.252,20.06,0.37,0.44,0.02,0.02
Gm10801,0.251,44.82,0.37,0.11,0.01,0.01
Zfp804b,0.250,42.39,0.19,0.22,0.00,0.01
Robo1,0.250,9.72,0.13,0.30,0.01,0.02
Ppfia2,0.250,42.69,0.11,0.26,0.00,0.01
Lnx1,0.250,9.27,0.06,0.30,0.01,0.02
Dnajc6,0.248,12.80,0.08,0.26,0.01,0.01
Pcdh15,0.248,11.45,0.25,0.26,0.02,0.03
Hmgn3,0.246,10.55,0.10,0.30,0.01,0.03
Slc37a1,0.246,4.50,0.05,0.22,0.01,0.04
Efcc1,0.245,46.79,0.08,0.19,0.00,0.01
Aplp1,0.244,30.64,0.09,0.19,0.00,0.01
Rad18,0.244,7.71,0.10,0.15,0.01,0.04
