gene,score,fold_change
Galnt6,0.604,2.05
Ncbp3,0.604,1.74
Slc28a2,0.603,1.65
Sugp1,0.603,1.81
Gm15133,0.602,Inf
Htatip2,0.602,Inf
Pmpca,0.602,1.94
Cybb,0.602,1.41
Carmil1,0.602,1.90
Trim30a,0.602,1.75
Gps1,0.602,1.94
Golim4,0.602,2.20
Gpr183,0.601,1.58
Nudt3,0.601,1.58
Elp1,0.600,1.90
Ero1l,0.600,1.90
Prkcz,0.600,1.94
Ccnh,0.600,1.67
Slmap,0.600,1.49
Zfp68,0.600,1.85
Rbl1,0.599,1.97
Ins2,0.599,1.45
Tapt1,0.599,1.70
Neurl3,0.599,1.51
Spopl,0.599,1.66
Cxcr5,0.599,1.57
Adar,0.599,1.73
Limk2,0.598,1.61
Cd200,0.598,1.61
Fgr,0.598,1.64
Slc29a3,0.598,2.47
Nom1,0.598,1.59
Galns,0.598,2.78
Fmr1,0.598,1.44
Pdlim7,0.597,1.63
Lrmp,0.597,1.46
Mfap3,0.597,1.81
Polr2c,0.596,1.83
Kdm2b,0.596,1.62
Abca3,0.596,1.39
D6Wsu163e,0.596,1.84
Polb,0.596,1.54
Recql5,0.596,1.85
Wiz,0.596,1.83
Tmem68,0.595,1.60
Alg12,0.595,3.35
Ets2,0.595,2.29
Tesk1,0.595,1.69
Klhl14,0.595,1.54
Ccdc134,0.595,1.88
Mapk8,0.595,1.62
Ceacam1,0.595,1.87
Aff1,0.594,1.49
Pakap,0.594,1.41
Lamtor5,0.594,1.59
Lasp1,0.594,1.60
Kcnb1,0.594,1.99
Klhl7,0.594,1.87
B9d2,0.594,2.03
Kctd14,0.594,2.01
Tmem263,0.594,1.86
Tom1,0.593,1.76
Washc1,0.593,2.15
Rnf141,0.593,1.67
A530032D15Rik,0.593,1.54
Vasp,0.593,1.47
Scml4,0.593,1.51
Tmem248,0.593,1.71
H2-Ke6,0.593,1.88
Retreg2,0.593,2.29
Gpd1l,0.592,1.42
Borcs7,0.592,1.73
Cenps,0.592,3.36
Zfp655,0.592,1.70
Ubxn6,0.591,2.04
Ankrd26,0.591,2.63
Mcm2,0.591,2.01
Evi2a,0.590,2.02
Kmo,0.590,1.57
Sycn,0.590,1.72
Keap1,0.590,1.63
Krit1,0.590,1.51
Rbpjl,0.590,5.81
Ttc4,0.589,1.56
Prr12,0.589,1.78
Tcp11l2,0.589,1.65
Kctd10,0.589,2.66
Ubash3b,0.589,1.56
Anxa7,0.589,1.49
Gpalpp1,0.589,1.65
Gm30054,0.589,1.58
Chsy1,0.589,1.47
Gsap,0.588,1.44
Fam214a,0.588,1.70
Dpp4,0.588,1.54
Mettl15,0.588,1.74
Msra,0.588,1.54
Morc2a,0.588,1.49
Cnpy3,0.588,1.35
Ints1,0.588,1.93
Sema5a,0.588,2.24
Arhgap26,0.588,1.46
Guf1,0.588,2.49
Pitrm1,0.588,1.77
Dusp2,0.587,1.44
Tgif1,0.587,1.87
Ranbp3,0.587,1.55
Ptprj,0.587,1.37
Blm,0.587,1.47
Fam160b2,0.587,1.80
Mgp,0.587,2.27
Mycbp,0.586,1.79
Ap2m1,0.586,1.59
Cyp2r1,0.586,2.33
E2f3,0.586,1.67
Zfp113,0.586,3.12
Rpl10-ps3,0.586,1.73
Smad4,0.586,1.63
Wdpcp,0.586,2.06
Wdfy2,0.586,1.48
Ptpn14,0.585,2.27
Irf2bp1,0.585,1.68
Ercc8,0.585,1.91
Sla,0.585,1.50
Pex6,0.585,1.94
Gm10138,0.585,1.99
Med23,0.585,1.70
Cand1,0.585,1.44
Slc4a2,0.585,2.83
Ap4m1,0.585,3.00
4930444A19Rik,0.585,1.43
Mfap1a,0.585,1.74
Brwd1,0.584,1.56
Tpk1,0.584,1.29
Mpp7,0.584,1.64
Dgcr2,0.584,1.63
Gm47371,0.584,2.21
Slc7a1,0.584,1.46
Gm17491,0.584,3.07
Rnf166,0.584,1.63
Cep290,0.583,1.58
Gm13212,0.583,3.11
Med19,0.583,1.67
Chkb,0.583,1.57
Ccdc6,0.583,1.63
Carf,0.583,1.77
Klhl6,0.583,1.41
Fcrla,0.583,1.42
Rbbp8,0.583,1.55
Phax,0.583,1.51
Gm20342,0.583,1.84
Gm42031,0.583,1.66
Adgre5,0.583,1.46
Ccdc86,0.583,2.22
Det1,0.583,2.66
Hist3h2a,0.583,2.47
Acaca,0.582,1.41
Ofd1,0.582,1.68
Ppp1r15b,0.582,1.55
Plp2,0.582,1.91
Rrp8,0.582,1.39
Cpne3,0.582,1.66
Sh3tc1,0.582,6.90
2610037D02Rik,0.582,1.52
Fancl,0.582,1.31
Wdr59,0.582,1.80
Scarb1,0.581,2.16
Gm32856,0.581,2.17
Rab40c,0.581,1.53
Hinfp,0.581,2.08
Nrros,0.581,1.45
Chd1l,0.581,1.31
Kpna6,0.581,1.86
Rspry1,0.581,1.64
Ppp4r2,0.581,1.53
Zbtb7b,0.581,2.00
Gm11973,0.581,Inf
Stat5a,0.581,1.82
Mef2b,0.581,1.77
Zeb2,0.581,1.53
Kctd2,0.581,2.43
Bcl2a1b,0.580,1.41
Nckipsd,0.580,13.18
Cyth1,0.580,1.41
Cyb5a,0.580,1.54
Scd2,0.580,1.51
Hipk2,0.580,1.39
Trappc2l,0.580,1.51
Flt3l,0.580,2.30
Txlna,0.580,1.53
Abhd16a,0.580,1.49
Tm9sf1,0.580,2.05
Eif2s3x,0.580,1.41
H2-Q7,0.579,1.54
Nfkbie,0.579,1.45
Psen2,0.579,1.29
Lztfl1,0.579,1.78
Ublcp1,0.579,1.62
Dnah8,0.579,1.62
Ptgr2,0.579,1.68
Gm49797,0.579,1.62
Agl,0.579,1.98
Tmem138,0.579,2.77
Rbpms,0.579,1.36
Kcnq1ot1,0.579,1.42
Acrbp,0.579,3.40
Rnf34,0.579,1.64
Rae1,0.579,1.48
Trio,0.579,1.53
Ube4a,0.579,1.52
Frg1,0.578,1.41
Hscb,0.578,1.58
Pot1a,0.578,1.74
Ppp1r8,0.578,2.02
Adam19,0.578,1.46
Myd88,0.578,2.74
Stim1,0.578,1.46
Agpat5,0.578,1.59
Atxn1,0.578,1.47
Aamdc,0.578,2.05
Dip2c,0.578,1.70
Thrb,0.578,9.00
Ppm1l,0.577,1.58
Tmem60,0.577,1.74
Pan2,0.577,1.61
Mapk9,0.577,1.55
Lcorl,0.577,1.41
Lsm4,0.577,1.48
Zfat,0.577,2.11
Tbc1d13,0.577,2.10
Nab1,0.577,1.41
Mosmo,0.577,1.42
Galnt10,0.577,1.50
Slfn5,0.577,2.72
Atg13,0.577,1.53
Ctu2,0.577,1.97
Gm15952,0.576,3.44
Entpd1,0.576,1.56
Tcerg1,0.576,1.47
Maco1,0.576,1.54
Tpgs2,0.576,2.11
Ldlr,0.576,1.72
Rufy3,0.576,1.36
Tbcd,0.576,1.50
Inpp5d,0.576,1.38
Ing2,0.576,1.62
Ncoa4,0.576,1.57
Esr1,0.576,1.64
Hdac7,0.576,1.43
Coq8a,0.576,1.57
Prkce,0.576,1.44
Pik3ca,0.576,1.35
Tkt,0.576,1.41
Zfp729b,0.576,1.78
Gm43462,0.576,3.53
Vdac1,0.576,1.41
Tff2,0.576,5.86
Nmnat3,0.576,4.34
Rb1cc1,0.576,1.36
Prrc2b,0.576,1.44
Kctd3,0.575,1.58
Crlf2,0.575,1.57
Sox5,0.575,2.00
Ap3b1,0.575,1.50
Derl1,0.575,1.39
Pik3ap1,0.575,1.38
Cacna1d,0.575,1.52
Smn1,0.575,1.65
Nfatc2,0.575,1.39
Cib1,0.574,1.32
Rps6ka5,0.574,1.37
Abcc5,0.574,1.47
Car2,0.574,1.59
Myl4,0.574,2.14
Dnmt3a,0.574,1.57
Mthfs,0.574,1.60
Heca,0.574,1.45
AB124611,0.574,1.44
Serhl,0.574,2.53
Lmf1,0.574,1.78
Rab27a,0.574,2.26
Skap1,0.574,2.02
Nme6,0.574,3.79
Xaf1,0.574,2.37
2610020C07Rik,0.573,1.51
Pprc1,0.573,1.63
Zfp280c,0.573,1.67
Slfn8,0.573,1.51
Arhgap24,0.573,1.49
Tle1,0.573,2.22
Pepd,0.573,1.71
Gng2,0.573,1.44
Chst15,0.573,1.66
Ptpmt1,0.573,2.68
Ostf1,0.573,1.28
Rab28,0.572,1.27
Gm10785,0.572,1.38
Efcab14,0.572,1.46
P4hb,0.572,1.61
Zmat3,0.572,3.62
Galnt7,0.572,1.56
Ube4b,0.572,1.36
Rassf2,0.572,1.43
Slc30a7,0.571,1.44
Vmn2r96,0.571,1.46
Exoc7,0.571,1.65
Gstm1,0.571,5.83
Nfib,0.571,3.26
Sh3kbp1,0.571,1.32
Mbd1,0.571,1.85
Stk10,0.571,1.36
Ralgps1,0.571,1.44
Med27,0.571,1.37
Apbb2,0.571,4.87
Ogt,0.571,1.35
Nsmce3,0.571,1.97
Jakmip1,0.571,1.47
Stag2,0.571,1.32
Gtf2i,0.571,1.40
Pes1,0.571,1.45
Cyb561d1,0.571,2.53
Chd7,0.570,1.32
Zfp871,0.570,1.42
Gm20275,0.570,1.13
Tmem230,0.570,1.79
Lrrc40,0.570,1.80
Gngt2,0.570,1.38
Fbxl3,0.570,1.58
BC024063,0.570,3.78
Tnfaip8,0.570,1.33
Sipa1l1,0.570,1.35
Parp10,0.570,1.58
H2-Ob,0.570,1.37
Zbed4,0.570,1.28
Rpa1,0.570,1.40
Glipr1,0.570,2.72
Wdr61,0.570,1.58
Myc,0.569,1.95
Ly86,0.569,1.29
Mypopos,0.569,1.98
Phactr2,0.569,8.06
Cmpk1,0.569,1.40
Cstf3,0.569,1.35
Tent5c,0.569,6.93
Zranb3,0.569,1.60
Nlrc3,0.569,1.45
Fchsd2,0.569,1.32
Elf4,0.569,1.36
Eml3,0.569,1.62
Tex2,0.569,1.89
Zc3h12d,0.569,1.34
Tcirg1,0.569,1.49
Kat5,0.569,1.71
Rnf213,0.569,1.51
Ehd4,0.569,1.36
Med13,0.569,1.33
Msi2,0.569,1.32
Tmem245,0.569,1.47
Itpk1,0.569,1.68
Cramp1l,0.569,1.66
Shmt2,0.568,1.93
Thoc5,0.568,1.59
Gm43331,0.568,2.08
Rasa1,0.568,1.34
Zfp608,0.568,1.34
Cog4,0.568,1.39
Kdm6a,0.568,1.25
Tap1,0.568,1.53
Mga,0.568,1.35
Srsf9,0.568,1.49
Ttc28,0.568,1.39
Thoc3,0.568,1.48
Polm,0.568,1.76
Eif2d,0.568,1.25
Tnfaip8l2,0.568,1.58
Ttc9c,0.568,1.37
Kantr,0.568,1.35
Edem1,0.568,1.46
Vopp1,0.568,2.14
Dpy19l4,0.568,1.54
Rubcnl,0.568,1.38
Gtf2f2,0.568,1.45
Glmn,0.567,1.61
Exoc2,0.567,1.50
Tbcb,0.567,1.30
Gm50012,0.567,4.18
Rrp1b,0.567,1.61
Slc35a1,0.567,1.77
Tmcc3,0.567,1.41
Usp42,0.567,1.96
F730311O21Rik,0.567,1.25
Cpt2,0.567,4.24
Ttf2,0.567,2.08
Acp5,0.567,1.31
Trip4,0.567,1.43
Zfand5,0.567,1.41
Smpdl3a,0.567,2.04
Vhl,0.567,1.92
BC051142,0.567,1.78
Rufy2,0.567,1.29
Uso1,0.567,1.35
Cop1,0.567,1.39
Anapc2,0.567,1.48
Acad10,0.566,1.94
Zfand2b,0.566,1.86
A530017D24Rik,0.566,4.33
Mon2,0.566,1.50
Ptpn2,0.566,1.31
Fbxw8,0.566,1.37
5530601H04Rik,0.566,1.61
Fam168b,0.566,1.43
Stxbp3,0.566,1.38
Cacna1e,0.566,1.66
H2-Oa,0.566,1.44
Ankib1,0.566,1.34
Rffl,0.566,1.50
Acsl4,0.566,1.35
Ubr2,0.566,1.31
Ip6k1,0.566,1.41
Gtf2a1,0.566,1.27
Gmpr2,0.566,3.59
Serpini2,0.566,5.63
Abtb1,0.566,1.94
Vim,0.566,1.29
Vgll4,0.566,1.36
Ptp4a2,0.565,1.29
Sh2b3,0.565,1.20
Tbl1xr1,0.565,1.34
Gna13,0.565,1.38
Lnpep,0.565,1.30
Spata13,0.565,1.63
Arl5b,0.565,1.69
Nlrc4,0.565,1.88
Rars2,0.565,1.15
Pcbp3,0.565,1.42
Wdhd1,0.565,1.32
Rsu1,0.565,1.64
Ddx19a,0.565,1.55
Lifr,0.565,2.43
Arel1,0.565,1.50
H2-Q6,0.565,1.53
Erbin,0.565,1.34
Nfatc1,0.565,1.37
C2cd3,0.565,1.24
Ggps1,0.565,1.28
Ttc7,0.565,1.38
Akirin2,0.565,1.41
H2-DMa,0.565,1.34
Fkbp15,0.564,1.35
Lnpk,0.564,1.43
Tagap,0.564,1.70
Srebf2,0.564,1.38
Odf2l,0.564,1.68
Ilvbl,0.564,1.99
Psmg3,0.564,1.57
Vps41,0.564,1.31
Lcor,0.564,1.35
Ranbp9,0.564,1.51
Ndufaf4,0.564,1.59
Gm17066,0.564,3.82
Gtpbp2,0.564,1.40
Dctn6,0.564,1.80
Lims1,0.564,1.23
Cltc,0.564,1.36
Mkln1,0.564,1.37
Mast4,0.564,1.31
Emid1,0.564,1.45
Fas,0.564,3.03
Pycr2,0.564,1.78
Ring1,0.564,1.88
Abl1,0.563,1.42
Isg20l2,0.563,1.48
Sidt1,0.563,1.30
Madd,0.563,1.36
Tstd2,0.563,1.62
Gbp8,0.563,2.34
Zfp319,0.563,2.31
Gmeb2,0.563,1.36
Sgpl1,0.563,1.40
Zkscan3,0.563,1.43
Plbd1,0.563,1.93
Helq,0.563,2.08
Cox15,0.563,2.83
Mettl14,0.563,1.79
Zfp65,0.563,1.82
Lta,0.563,1.92
Ift172,0.563,1.80
Zgrf1,0.563,1.95
Apobec1,0.563,1.50
Itprip,0.563,1.51
Nfkb1,0.563,1.36
Slc38a10,0.563,1.40
Dhx34,0.563,1.68
Fam78a,0.563,1.35
Snx2,0.563,1.31
Wdtc1,0.563,1.57
Stat2,0.562,1.29
Mcur1,0.562,1.83
Zkscan1,0.562,1.55
Elf1,0.562,1.38
Slc7a6,0.562,1.47
Pdcd4,0.562,1.34
Gnptab,0.562,1.19
Fam45a,0.562,1.29
Snhg15,0.562,1.55
Pik3r4,0.562,1.55
2310057M21Rik,0.562,3.90
Lcmt1,0.562,1.98
Stradb,0.562,2.17
Ceacam16,0.562,2.42
Noa1,0.562,1.54
Nceh1,0.562,1.69
Znrf3,0.562,1.62
Arrdc1,0.562,1.49
Gcnt1,0.562,1.39
Bckdha,0.562,1.44
Rasgrp3,0.562,1.35
Taf4b,0.562,1.76
Hyou1,0.562,1.58
Dpy19l3,0.562,1.65
mt-Co1,0.562,1.27
Ankrd40,0.562,1.29
Stk4,0.562,1.36
Arid2,0.562,1.31
Rad51d,0.562,1.74
Zcchc4,0.562,1.34
Dnpep,0.562,2.03
Ccdc127,0.561,1.58
Rabep1,0.561,1.28
Yrdc,0.561,1.59
Egln2,0.561,1.30
Map4k1,0.561,1.31
Usp46,0.561,1.80
Ddx60,0.561,2.11
Pxdc1,0.561,1.33
Cd53,0.561,1.35
Mthfd1,0.561,1.38
Sil1,0.561,1.48
Tbc1d22a,0.561,1.35
E030030I06Rik,0.561,1.51
Pax5,0.561,1.24
Tmem97,0.561,1.90
Gm11084,0.561,1.50
Ado,0.561,1.70
Antxr2,0.561,1.32
Ppp3ca,0.561,1.30
Mlxip,0.561,1.46
Ubl3,0.561,1.35
Ubqln1,0.561,1.43
Jam2,0.561,Inf
Plcb1,0.561,9.37
Dad1,0.561,1.27
Fbxo3,0.561,1.41
Fis1,0.561,1.33
Ddx6,0.561,1.28
1110059E24Rik,0.560,1.35
Zfp984,0.560,1.50
Zc3h7b,0.560,1.67
Snx19,0.560,1.25
Prep,0.560,1.55
Atp6v0b,0.560,1.36
Btd,0.560,2.43
Fbxw7,0.560,1.35
Apaf1,0.560,1.37
Sbf1,0.560,1.34
Traf7,0.560,1.35
Gls,0.560,1.36
Mpc1,0.560,1.37
Helz,0.560,1.40
Aopep,0.560,1.21
Csnk1g3,0.560,1.29
Gramd3,0.560,1.30
Ift80,0.560,1.54
Foxp1,0.560,1.29
Pink1,0.560,1.60
Plekhg3,0.560,5.39
Malsu1,0.560,1.48
Acvr1b,0.559,1.42
Txlng,0.559,1.33
Focad,0.559,1.48
Lypla1,0.559,1.20
Pip4k2a,0.559,1.26
Galnt2,0.559,1.82
Slc39a9,0.559,1.38
Tbl1x,0.559,1.45
Mrpl1,0.559,1.37
Eva1b,0.559,12.76
Cdk13,0.559,1.26
Polr3h,0.559,1.80
Dnase2a,0.559,1.53
N4bp2,0.559,1.41
Eea1,0.559,1.37
Smchd1,0.559,1.35
C330007P06Rik,0.559,1.44
Usp53,0.559,1.22
Bloc1s5,0.559,1.94
Trappc6a,0.559,1.39
Limd1,0.559,1.35
Arid5b,0.559,1.29
Uck2,0.559,2.44
Gsn,0.559,1.24
Nkiras2,0.559,1.83
Gm20732,0.559,1.28
Cd83,0.559,1.32
Zranb1,0.559,1.26
1700028E10Rik,0.559,1.77
3830406C13Rik,0.559,1.45
Gm39321,0.559,1.85
Gak,0.559,1.35
Vcpip1,0.559,1.31
D2hgdh,0.559,1.85
Coa5,0.559,1.32
Apool,0.559,1.43
Siah1a,0.559,1.31
Ncapd3,0.559,2.13
Amdhd2,0.559,2.26
Hagh,0.558,1.45
Rtn1,0.558,4.53
Igbp1,0.558,1.31
Fbxo25,0.558,1.89
Rab5a,0.558,1.46
Nr6a1,0.558,2.05
Trappc3,0.558,1.74
Dhx32,0.558,1.68
Dpy19l1,0.558,1.40
Zfp207,0.558,1.25
Fam107b,0.558,1.30
Map4,0.558,1.25
Acd,0.558,1.68
Dis3,0.558,1.61
Vav3,0.558,1.30
Xpnpep3,0.558,1.52
2310061I04Rik,0.558,1.68
Cd19,0.558,1.38
Tollip,0.558,1.44
Phf10,0.558,1.39
Parn,0.558,1.37
Man1a,0.558,1.28
Tfcp2,0.558,1.61
Cyb561a3,0.558,1.32
Fry,0.558,1.30
Sirt2,0.558,1.46
mt-Nd6,0.558,1.24
Far1,0.557,1.30
Bnip1,0.557,1.17
Iqgap2,0.557,1.55
Fnbp1,0.557,1.32
Pigk,0.557,1.31
Mex3c,0.557,2.01
Slc44a2,0.557,1.32
Pycard,0.557,1.42
Frs2,0.557,1.35
Ruvbl2,0.557,1.80
Ubb,0.557,1.28
Snx14,0.557,1.55
Zfp326,0.557,1.43
Abhd18,0.557,1.57
Camk2b,0.557,1.54
Leprot,0.557,1.60
Tenm4,0.557,4.77
Usf3,0.557,1.33
Cog3,0.557,1.53
Rapgef2,0.557,1.53
Terf2,0.556,1.41
Tspan14,0.556,1.33
Cep83,0.556,1.32
Nup210l,0.556,1.43
Txndc11,0.556,1.36
Hdhd5,0.556,1.58
Lrp1b,0.556,1.25
Slc2a9,0.556,2.01
Tjap1,0.556,1.49
Mbp,0.556,1.45
Stx6,0.556,1.39
Vat1,0.556,2.50
Nup93,0.556,1.42
Mpzl3,0.556,1.83
Klf9,0.556,2.10
Cnot7,0.556,1.43
Immp2l,0.556,1.23
Plaur,0.556,1.33
Ksr1,0.556,1.50
Csde1,0.556,1.17
Fcrl5,0.556,1.15
Rab39,0.556,1.42
Aim2,0.556,1.31
Mrpl44,0.556,1.90
Rab3ip,0.556,1.40
Asrgl1,0.556,1.49
Appl1,0.556,1.32
Agtpbp1,0.556,1.53
Akap12,0.556,1.38
Tuba1b,0.556,1.11
Lamc1,0.556,1.37
Tnpo2,0.556,1.52
Dglucy,0.556,1.92
Mdh1,0.556,1.39
AW554918,0.556,1.31
Adcy3,0.556,1.73
Arap1,0.556,1.42
Mbd5,0.555,1.30
Akap13,0.555,1.25
Tmsb15b2,0.555,1.55
4833403J16Rik,0.555,2.22
Gm32401,0.555,1.52
Nfia,0.555,1.37
1700109H08Rik,0.555,1.69
2610035D17Rik,0.555,2.24
Zfp36l2,0.555,1.34
Dhx16,0.555,1.20
Sdccag8,0.555,1.30
Dennd5b,0.555,1.32
Susd6,0.555,1.29
Dclre1b,0.555,7.07
Arl1,0.555,1.42
Pnpla7,0.555,1.42
Stard3nl,0.555,1.10
Rnf13,0.555,1.41
Wdr20,0.555,1.57
Edem3,0.555,1.32
As3mt,0.555,2.26
Tstd3,0.555,2.11
Slc35a2,0.555,1.82
Qser1,0.554,1.62
Hepacam2,0.554,5.40
Bcar3,0.554,1.41
1110002L01Rik,0.554,1.31
Dip2a,0.554,2.08
Zfp251,0.554,1.95
Ncald,0.554,Inf
Blnk,0.554,1.28
Sbno2,0.554,1.28
Gramd1b,0.554,1.45
Lrba,0.554,1.20
1600020E01Rik,0.554,1.33
Nsun3,0.554,1.52
Wdr26,0.554,1.35
Tsix,0.554,5.19
Ndrg1,0.554,5.78
9930111J21Rik1,0.554,1.93
St3gal5,0.554,1.10
Pfkfb4,0.554,1.53
Mical3,0.554,1.76
Bbs9,0.554,1.18
Cab39,0.553,1.29
Aqr,0.553,1.30
Tex14,0.553,1.83
Sept7,0.553,1.30
Psmb7,0.553,1.44
Man2c1os,0.553,1.29
Bahd1,0.553,1.20
Samd1,0.553,1.52
Aldh2,0.553,1.33
Nedd9,0.553,1.31
Aars2,0.553,3.11
Ppp1r12b,0.553,1.39
Gm16153,0.553,5.11
Cep89,0.553,1.52
Nampt,0.553,1.59
Slc14a1,0.553,1.48
St6galnac3,0.553,1.32
Med26,0.553,1.49
Prpsap1,0.553,1.41
Gstz1,0.553,1.86
Zfp7,0.553,3.00
Decr1,0.553,1.92
Smad5,0.553,1.16
Clint1,0.553,1.26
Utp15,0.553,1.30
Zbtb21,0.553,2.51
Tmem242,0.552,1.33
Rgs18,0.552,2.14
Dtx3l,0.552,1.61
Lyn,0.552,1.17
Tnrc18,0.552,1.30
Cd2,0.552,1.29
Lmtk2,0.552,1.33
Klhdc1,0.552,1.36
Mical1,0.552,1.24
Mgst2,0.552,1.61
Zmym5,0.552,1.31
Hnrnpk,0.552,1.27
Slc25a1,0.552,1.83
Ppp2r5c,0.552,1.25
Auts2,0.552,5.65
Fastkd2,0.552,2.07
Camk2d,0.552,1.34
Txnrd1,0.552,1.35
Baz2b,0.552,1.22
Zfyve26,0.552,1.34
Gem,0.552,1.54
Ppfibp1,0.552,1.40
Zfp839,0.552,14.92
Rmnd5b,0.552,1.55
Ctsc,0.552,1.33
Triobp,0.552,1.54
Trappc1,0.551,1.47
Lrrc20,0.551,1.40
Crebbp,0.551,1.22
Opa3,0.551,1.53
Grpel2,0.551,1.36
Ddit4,0.551,1.40
Bptf,0.551,1.24
Btbd9,0.551,1.24
Cenpj,0.551,1.41
Cd1d1,0.551,1.57
Ttc38,0.551,1.52
Ucp2,0.551,1.26
Mgrn1,0.551,1.18
Dclk2,0.551,1.43
Impact,0.551,1.48
Rwdd4a,0.551,1.60
Il31ra,0.551,1.29
Tmem11,0.551,1.02
Sell,0.551,1.29
Cdkn2aipnl,0.551,1.15
Cox7a2l,0.551,1.24
Sigirr,0.551,2.33
Atat1,0.551,2.86
Rbm26,0.551,1.26
Ppcdc,0.551,1.46
Abcg1,0.551,1.38
Ilf3,0.551,1.34
Klhl20,0.551,1.28
Ubxn7,0.551,1.20
Btk,0.551,1.29
Anapc7,0.551,1.66
Mrpl36,0.551,1.56
Tmem168,0.550,1.43
Zfp866,0.550,1.34
Mbnl1,0.550,1.24
Abcb7,0.550,1.32
Iqgap1,0.550,1.25
